Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GL1 1AH,Yes,51.861356,-2.224928,384607,218110,SO846181,10/1/2013 12:00:00 AM,,23,,,Gloucester,1.0,Gloucester,,,Gloucester,Elmbridge,Kingsholm and Wotton
GL1 1AJ,Yes,51.861614,-2.221328,384855,218138,SO848181,1/1/2018 12:00:00 AM,,23,,,Gloucester,1.3,Gloucester,,,Gloucester,Elmbridge,Kingsholm and Wotton
GL1 3BE,Yes,51.869783,-2.224741,384623,219047,SO846190,6/1/2010 12:00:00 AM,,18,9,3,Gloucester,1.1,Gloucester,,,Gloucester,Elmbridge,Kingsholm and Wotton
GL1 3LN,Yes,51.874134,-2.229702,384283,219532,SO842195,1/1/1980 12:00:00 AM,,17,11,5,Gloucester,1.1,Gloucester,Severn Trent,,Gloucester,Longlevens,Longlevens
GL1 3LP,Yes,51.875943,-2.232307,384104,219734,SO841197,1/1/1980 12:00:00 AM,,15,30,11,Gloucester,1.2,Gloucester,Severn Trent,,Gloucester,Longlevens,Longlevens
GL1 3LR,No,51.876141,-2.233024,384055,219756,SO840197,1/1/1980 12:00:00 AM,8/1/2016 12:00:00 AM,14,,,Gloucester,1.2,Gloucester,Severn Trent,,Gloucester,Longlevens,Longlevens
GL1 3LS,Yes,51.874467,-2.229297,384311,219569,SO843195,1/1/1980 12:00:00 AM,,16,7,4,Gloucester,1.2,Gloucester,Severn Trent,,Gloucester,Longlevens,Longlevens
GL1 3LT,Yes,51.876583,-2.231730,384144,219805,SO841198,1/1/1980 12:00:00 AM,,16,24,9,Gloucester,1.3,Gloucester,Severn Trent,,Gloucester,Longlevens,Longlevens
GL1 3LU,Yes,51.875884,-2.235928,383855,219728,SO838197,1/1/1980 12:00:00 AM,,14,62,22,Gloucester,1.2,Gloucester,Severn Trent,,Gloucester,Longlevens,Longlevens
GL1 3LW,Yes,51.873185,-2.227721,384419,219426,SO844194,1/1/1980 12:00:00 AM,,17,54,24,Gloucester,1.1,Gloucester,Severn Trent,,Gloucester,Longlevens,Longlevens
