Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
ST19 9AP,Yes,52.680223,-2.254930,382862,309200,SJ828091,1/1/1980 12:00:00 AM,,153,36,14,Albrighton,4.8,,Severn Trent,,Shropshire,Shifnal South and Cosford,
SY13 2BH,Yes,52.880818,-2.626988,357903,331668,SJ579316,1/1/1980 12:00:00 AM,,82,4,3,Prees,4.7,,Severn Trent,,Shropshire,Hodnet,
SY4 4DY,Yes,52.812505,-2.639992,356960,324077,SJ569240,12/1/1997 12:00:00 AM,,75,11,5,Yorton,6.5,,Severn Trent,,Shropshire,Hodnet,
SY4 4ET,Yes,52.809291,-2.615348,358618,323705,SJ586237,1/1/1980 12:00:00 AM,,75,9,5,Yorton,8.1,,Severn Trent,,Shropshire,Hodnet,
SY4 4EU,Yes,52.817874,-2.600708,359613,324651,SJ596246,1/1/1980 12:00:00 AM,,81,12,4,Wem,9.0,,Severn Trent,,Shropshire,Hodnet,
SY4 4EX,Yes,52.817703,-2.577276,361192,324619,SJ611246,1/1/1980 12:00:00 AM,,83,12,4,Wem,10.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4EY,Yes,52.820290,-2.584997,360674,324911,SJ606249,1/1/1980 12:00:00 AM,,87,14,4,Wem,9.8,,Severn Trent,,Shropshire,Hodnet,
SY4 4EZ,Yes,52.818399,-2.579286,361057,324698,SJ610246,1/1/1980 12:00:00 AM,,85,34,10,Wem,10.2,,Severn Trent,,Shropshire,Hodnet,
SY4 4FE,Yes,52.726516,-2.613457,358667,314496,SJ586144,5/1/2018 12:00:00 AM,,58,,,Wellington (Shropshire),7.1,,,,Telford and Wrekin,Wrockwardine,
SY4 4HA,Yes,52.828034,-2.584092,360742,325772,SJ607257,1/1/1980 12:00:00 AM,,83,13,6,Wem,9.5,,Severn Trent,,Shropshire,Hodnet,
SY4 4HB,Yes,52.821011,-2.607740,359142,325004,SJ591250,1/1/1980 12:00:00 AM,,77,11,6,Wem,8.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4HD,Yes,52.806627,-2.610726,358927,323406,SJ589234,1/1/1980 12:00:00 AM,,76,4,2,Yorton,8.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4HE,Yes,52.803399,-2.600298,359627,323041,SJ596230,1/1/1980 12:00:00 AM,,71,46,17,Yorton,9.2,,Severn Trent,,Shropshire,Hodnet,
SY4 4HF,Yes,52.799353,-2.601120,359568,322591,SJ595225,1/1/1980 12:00:00 AM,,70,13,6,Yorton,9.2,,Severn Trent,,Shropshire,Hodnet,
SY4 4HG,Yes,52.799854,-2.619178,358351,322657,SJ583226,1/1/1980 12:00:00 AM,,72,24,10,Yorton,7.9,,Severn Trent,,Shropshire,Hodnet,
SY4 4JN,Yes,52.763920,-2.641638,356801,318673,SJ568186,1/1/1980 12:00:00 AM,,63,32,13,Yorton,8.1,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4LG,Yes,52.818318,-2.656017,355886,324733,SJ558247,1/1/1980 12:00:00 AM,,68,13,3,Yorton,5.5,,Severn Trent,,Shropshire,Hodnet,
SY4 4LH,Yes,52.810508,-2.640885,356898,323855,SJ568238,1/1/1980 12:00:00 AM,,70,14,6,Yorton,6.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4LJ,No,52.810252,-2.640036,356955,323826,SJ569238,7/1/1990 12:00:00 AM,6/1/2000 12:00:00 AM,69,,,Yorton,6.5,,Severn Trent,,Shropshire,Hodnet,
SY4 4LL,Yes,52.810865,-2.641351,356867,323895,SJ568238,1/1/1980 12:00:00 AM,,71,2,1,Yorton,6.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4LN,Yes,52.812124,-2.639037,357024,324034,SJ570240,1/1/1980 12:00:00 AM,,75,6,2,Yorton,6.6,,Severn Trent,,Shropshire,Hodnet,
SY4 4LP,Yes,52.813195,-2.640447,356930,324154,SJ569241,1/1/1980 12:00:00 AM,,77,32,13,Yorton,6.5,,Severn Trent,,Shropshire,Hodnet,
SY4 4LQ,Yes,52.812857,-2.642137,356816,324117,SJ568241,1/1/1980 12:00:00 AM,,75,8,4,Yorton,6.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4LR,Yes,52.811788,-2.641213,356877,323998,SJ568239,1/1/1980 12:00:00 AM,,73,128,49,Yorton,6.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4LS,Yes,52.827813,-2.659926,355632,325792,SJ556257,1/1/1980 12:00:00 AM,,75,8,4,Wem,5.0,,Severn Trent,,Shropshire,Hodnet,
SY4 4LT,Yes,52.825001,-2.640550,356935,325467,SJ569254,1/1/1980 12:00:00 AM,,113,14,6,Wem,6.3,,Severn Trent,,Shropshire,Hodnet,
SY4 4LU,Yes,52.833889,-2.652644,356129,326463,SJ561264,1/1/1980 12:00:00 AM,,91,18,6,Wem,5.1,,Severn Trent,,Shropshire,Hodnet,
SY4 4LW,Yes,52.813533,-2.633408,357405,324187,SJ574241,1/1/1980 12:00:00 AM,,75,3,1,Yorton,6.9,,Severn Trent,,Shropshire,Hodnet,
SY4 4LX,Yes,52.828464,-2.635109,357305,325849,SJ573258,1/1/1980 12:00:00 AM,,108,9,4,Wem,6.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4LY,Yes,52.826532,-2.637734,357126,325636,SJ571256,1/1/1980 12:00:00 AM,,114,41,13,Wem,6.3,,Severn Trent,,Shropshire,Hodnet,
SY4 4LZ,Yes,52.834156,-2.631511,357553,326480,SJ575264,1/1/1980 12:00:00 AM,,91,2,1,Wem,6.3,,Severn Trent,,Shropshire,Hodnet,
SY4 4NA,Yes,52.835687,-2.623484,358095,326646,SJ580266,1/1/1980 12:00:00 AM,,97,33,11,Wem,6.7,,Severn Trent,,Shropshire,Hodnet,
SY4 4NB,Yes,52.828622,-2.613784,358742,325854,SJ587258,1/1/1980 12:00:00 AM,,88,18,4,Wem,7.6,,Severn Trent,,Shropshire,Hodnet,
SY4 4ND,Yes,52.820731,-2.615023,358651,324977,SJ586249,1/1/1980 12:00:00 AM,,77,17,8,Wem,8.0,,Severn Trent,,Shropshire,Hodnet,
SY4 4NE,Yes,52.810997,-2.640240,356942,323909,SJ569239,7/1/1990 12:00:00 AM,,71,9,6,Yorton,6.5,,Severn Trent,,Shropshire,Hodnet,
SY4 4NF,Yes,52.811219,-2.640807,356904,323934,SJ569239,1/1/1993 12:00:00 AM,,72,16,6,Yorton,6.4,,Severn Trent,,Shropshire,Hodnet,
SY4 4QH,Yes,52.723309,-2.618700,358310,314142,SJ583141,1/1/1980 12:00:00 AM,,59,8,4,Wellington (Shropshire),7.3,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QJ,Yes,52.724840,-2.609630,358924,314307,SJ589143,1/1/1980 12:00:00 AM,,54,12,9,Wellington (Shropshire),6.8,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QL,Yes,52.724530,-2.606960,359104,314271,SJ591142,1/1/1980 12:00:00 AM,,52,44,16,Wellington (Shropshire),6.6,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QN,Yes,52.726133,-2.609752,358917,314451,SJ589144,1/1/1980 12:00:00 AM,,55,11,4,Wellington (Shropshire),6.8,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QP,Yes,52.727450,-2.608391,359010,314597,SJ590145,1/1/1980 12:00:00 AM,,56,11,5,Wellington (Shropshire),6.8,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QQ,Yes,52.722570,-2.619015,358288,314060,SJ582140,1/1/1980 12:00:00 AM,,58,21,10,Wellington (Shropshire),7.3,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QR,Yes,52.726774,-2.609272,358950,314522,SJ589145,1/1/1980 12:00:00 AM,,56,19,8,Wellington (Shropshire),6.8,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QS,Yes,52.725971,-2.612946,358701,314435,SJ587144,1/1/1980 12:00:00 AM,,57,25,10,Wellington (Shropshire),7.0,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QT,Yes,52.730809,-2.614302,358614,314974,SJ586149,1/1/1980 12:00:00 AM,,56,7,2,Wellington (Shropshire),7.3,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QU,Yes,52.736088,-2.610377,358884,315559,SJ588155,1/1/1980 12:00:00 AM,,58,13,4,Wellington (Shropshire),7.4,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QW,Yes,52.725852,-2.610207,358886,314420,SJ588144,1/1/1980 12:00:00 AM,,55,8,6,Wellington (Shropshire),6.8,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QX,Yes,52.728162,-2.618588,358322,314682,SJ583146,1/1/1980 12:00:00 AM,,61,49,22,Wellington (Shropshire),7.5,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QY,Yes,52.727362,-2.618592,358321,314593,SJ583145,1/1/1980 12:00:00 AM,,60,9,4,Wellington (Shropshire),7.4,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4QZ,Yes,52.726297,-2.619734,358243,314475,SJ582144,1/1/1980 12:00:00 AM,,58,8,4,Wellington (Shropshire),7.4,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RA,Yes,52.728339,-2.619139,358285,314702,SJ582147,1/1/1980 12:00:00 AM,,61,5,2,Wellington (Shropshire),7.5,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RB,Yes,52.728995,-2.619624,358253,314775,SJ582147,1/1/1980 12:00:00 AM,,61,10,4,Wellington (Shropshire),7.6,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RD,Yes,52.731473,-2.625257,357875,315054,SJ578150,1/1/1980 12:00:00 AM,,60,18,8,Wellington (Shropshire),8.0,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RE,Yes,52.731939,-2.626891,357765,315107,SJ577151,1/1/1980 12:00:00 AM,,60,51,22,Wellington (Shropshire),8.1,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RF,Yes,52.731661,-2.631803,357433,315079,SJ574150,1/1/1980 12:00:00 AM,,63,41,15,Shrewsbury,8.2,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RG,Yes,52.728142,-2.635869,357155,314690,SJ571146,1/1/1980 12:00:00 AM,,62,19,10,Shrewsbury,7.9,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RL,Yes,52.731638,-2.659616,355555,315093,SJ555150,1/1/1980 12:00:00 AM,,103,14,8,Shrewsbury,6.5,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RQ,Yes,52.731336,-2.650324,356182,315054,SJ561150,1/1/1980 12:00:00 AM,,85,16,10,Shrewsbury,7.0,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 4RU,Yes,52.728705,-2.617915,358368,314742,SJ583147,2/1/2018 12:00:00 AM,,71,,,Wellington (Shropshire),7.4,,Severn Trent,,Telford and Wrekin,Wrockwardine,
SY4 5GE,Yes,52.876273,-2.618778,358451,331158,SJ584311,6/1/2010 12:00:00 AM,,104,,,Prees,5.4,,Severn Trent,,Shropshire,Hodnet,
SY4 5JU,Yes,52.861163,-2.599791,359715,329466,SJ597294,12/1/2000 12:00:00 AM,,154,12,4,Prees,7.4,,Severn Trent,,Shropshire,Hodnet,
SY4 5JY,Yes,52.855865,-2.631663,357564,328895,SJ575288,1/1/1980 12:00:00 AM,,153,26,9,Wem,5.8,,Severn Trent,,Shropshire,Hodnet,
SY4 5JZ,Yes,52.860755,-2.596978,359904,329419,SJ599294,1/1/1980 12:00:00 AM,,150,49,18,Prees,7.5,,Severn Trent,,Shropshire,Hodnet,
SY4 5LA,Yes,52.861233,-2.598440,359806,329473,SJ598294,12/1/1995 12:00:00 AM,,152,9,3,Prees,7.4,,Severn Trent,,Shropshire,Hodnet,
SY4 5LB,Yes,52.862009,-2.597857,359846,329559,SJ598295,1/1/1980 12:00:00 AM,,146,9,4,Prees,7.4,,Severn Trent,,Shropshire,Hodnet,
SY4 5LD,Yes,52.861472,-2.604563,359394,329503,SJ593295,1/1/1980 12:00:00 AM,,161,44,16,Prees,7.1,,Severn Trent,,Shropshire,Hodnet,
SY4 5LE,Yes,52.861936,-2.601628,359592,329553,SJ595295,1/1/1980 12:00:00 AM,,157,82,30,Prees,7.2,,Severn Trent,,Shropshire,Hodnet,
SY4 5LF,Yes,52.866949,-2.621440,358263,330122,SJ582301,1/1/1980 12:00:00 AM,,129,16,6,Prees,5.8,,Severn Trent,,Shropshire,Hodnet,
SY4 5LG,Yes,52.865213,-2.623272,358138,329930,SJ581299,1/1/1980 12:00:00 AM,,128,5,0,Prees,5.8,,Severn Trent,,Shropshire,Hodnet,
SY4 5LH,Yes,52.879688,-2.601501,359617,331528,SJ596315,1/1/1980 12:00:00 AM,,102,55,23,Prees,6.3,,Severn Trent,,Shropshire,Hodnet,
SY4 5LL,Yes,52.876893,-2.611833,358919,331223,SJ589312,1/1/1980 12:00:00 AM,,102,2,1,Prees,5.8,,Severn Trent,,Shropshire,Hodnet,
SY4 5LN,Yes,52.873081,-2.631408,357598,330810,SJ575308,1/1/1980 12:00:00 AM,,87,12,4,Prees,4.9,,Severn Trent,,Shropshire,Hodnet,
SY4 5LQ,Yes,52.864213,-2.601081,359631,329806,SJ596298,1/1/1980 12:00:00 AM,,127,9,4,Prees,7.1,,Severn Trent,,Shropshire,Hodnet,
SY4 5LS,Yes,52.859572,-2.655837,355940,329322,SJ559293,1/1/1980 12:00:00 AM,,89,15,6,Wem,4.2,,Severn Trent,,Shropshire,Hodnet,
SY4 5LW,No,52.856920,-2.610351,359000,329000,SJ590289,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,143,,,Prees,7.1,,,,Shropshire,Hodnet,
SY4 5RY,Yes,52.851446,-2.660689,355605,328421,SJ556284,1/1/1980 12:00:00 AM,,107,,,Wem,3.9,,Severn Trent,,Shropshire,Hodnet,
SY4 5UX,Yes,52.856498,-2.646018,356598,328974,SJ565289,1/1/1980 12:00:00 AM,,116,64,26,Wem,4.8,,Severn Trent,,Shropshire,Hodnet,
SY4 5UY,Yes,52.857315,-2.642852,356812,329063,SJ568290,8/1/1992 12:00:00 AM,,116,6,0,Wem,5.0,,Severn Trent,,Shropshire,Hodnet,
SY4 5UZ,Yes,52.854804,-2.645117,356657,328785,SJ566287,1/1/1980 12:00:00 AM,,124,4,2,Wem,4.9,,Severn Trent,,Shropshire,Hodnet,
SY4 5XA,Yes,52.855183,-2.649712,356348,328830,SJ563288,1/1/1980 12:00:00 AM,,116,33,15,Wem,4.6,,Severn Trent,,Shropshire,Hodnet,
SY4 5XB,Yes,52.854393,-2.652744,356143,328744,SJ561287,6/1/2015 12:00:00 AM,,114,1,1,Wem,4.4,,Severn Trent,,Shropshire,Hodnet,
SY4 5XD,Yes,52.853556,-2.647486,356496,328648,SJ564286,1/1/1980 12:00:00 AM,,127,38,12,Wem,4.7,,Severn Trent,,Shropshire,Hodnet,
SY4 5XE,Yes,52.848761,-2.645517,356624,328113,SJ566281,1/1/1980 12:00:00 AM,,142,44,16,Wem,4.9,,Severn Trent,,Shropshire,Hodnet,
SY4 5XG,Yes,52.853850,-2.646974,356531,328680,SJ565286,7/1/1990 12:00:00 AM,,126,14,6,Wem,4.8,,Severn Trent,,Shropshire,Hodnet,
TF1 1AA,Yes,52.699797,-2.519838,364968,311474,SJ649114,2/1/1990 12:00:00 AM,,98,,,Wellington (Shropshire),0.2,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1AB,No,52.699130,-2.520839,364900,311400,SJ649114,7/1/1995 12:00:00 AM,12/1/1999 12:00:00 AM,99,,,Wellington (Shropshire),0.3,Telford,,,Telford and Wrekin,Ercall,
TF1 1AD,Yes,52.697149,-2.519513,364988,311179,SJ649111,4/1/2015 12:00:00 AM,,107,,,Wellington (Shropshire),0.5,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1AE,Yes,52.703149,-2.520011,364959,311847,SJ649118,8/1/2016 12:00:00 AM,,100,,,Wellington (Shropshire),0.3,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1AF,Yes,52.702789,-2.520170,364948,311807,SJ649118,9/1/2016 12:00:00 AM,,99,,,Wellington (Shropshire),0.3,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1AG,Yes,52.702360,-2.519632,364984,311759,SJ649117,8/1/2016 12:00:00 AM,,99,,,Wellington (Shropshire),0.2,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1AH,Yes,52.702690,-2.518126,365086,311795,SJ650117,4/1/2018 12:00:00 AM,,99,,,Wellington (Shropshire),0.2,Telford,,,Telford and Wrekin,Arleston & College,
TF1 1AJ,Yes,52.699493,-2.519450,364994,311440,SJ649114,6/1/2019 12:00:00 AM,,100,,,Wellington (Shropshire),0.3,Telford,,,Telford and Wrekin,Haygate & Park,
TF1 1AL,Yes,52.702711,-2.517520,365127,311797,SJ651117,5/1/2019 12:00:00 AM,,99,,,Wellington (Shropshire),0.2,Telford,,,Telford and Wrekin,Arleston & College,
TF1 1AN,Yes,52.702505,-2.517310,365141,311774,SJ651117,5/1/2019 12:00:00 AM,,99,,,Wellington (Shropshire),0.1,Telford,,,Telford and Wrekin,Arleston & College,
TF1 1AP,Yes,52.702431,-2.517768,365110,311766,SJ651117,5/1/2019 12:00:00 AM,,99,,,Wellington (Shropshire),0.1,Telford,,,Telford and Wrekin,Arleston & College,
TF1 1AQ,Yes,52.699710,-2.514998,365295,311462,SJ652114,4/1/2020 12:00:00 AM,,104,,,Wellington (Shropshire),0.2,Telford,,,Telford and Wrekin,Arleston & College,
TF1 1BA,Yes,52.699653,-2.520446,364927,311458,SJ649114,1/1/1980 12:00:00 AM,,98,7,5,Wellington (Shropshire),0.3,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1BB,No,52.699130,-2.520839,364900,311400,SJ649114,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,99,,,Wellington (Shropshire),0.3,Telford,,,Telford and Wrekin,Ercall,
TF1 1BD,Yes,52.699810,-2.519009,365024,311475,SJ650114,1/1/1980 12:00:00 AM,,99,,,Wellington (Shropshire),0.2,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1BE,Yes,52.700100,-2.519001,365025,311507,SJ650115,1/1/1980 12:00:00 AM,,99,,,Wellington (Shropshire),0.2,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1BH,No,52.699130,-2.520839,364900,311400,SJ649114,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,99,,,Wellington (Shropshire),0.3,Telford,,,Telford and Wrekin,Ercall,
TF1 1BJ,Yes,52.700512,-2.518722,365044,311553,SJ650115,1/1/1980 12:00:00 AM,,99,5,5,Wellington (Shropshire),0.1,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1BN,No,52.701262,-2.522448,364793,311638,SJ647116,6/1/1996 12:00:00 AM,7/1/2017 12:00:00 AM,93,,,Wellington (Shropshire),0.4,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1BP,Yes,52.701141,-2.518818,365038,311623,SJ650116,1/1/1980 12:00:00 AM,,99,,,Wellington (Shropshire),0.1,Telford,Severn Trent,,Telford and Wrekin,Haygate & Park,
TF1 1BS,No,52.700022,-2.522330,364800,311500,SJ647114,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,94,,,Wellington (Shropshire),0.4,Telford,,,Telford and Wrekin,Haygate & Park,
TF1 1BT,No,52.700035,-2.519370,365000,311500,SJ650114,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,99,,,Wellington (Shropshire),0.2,Telford,,,Telford and Wrekin,Haygate & Park,
