Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
B70 0AF,Yes,52.525778,-2.025184,398388,291990,SO983919,9/1/2005 12:00:00 AM,,135,,,Dudley Port,1.6,West Bromwich,South Staffordshire Water,Severn Trent,Sandwell,Great Bridge,
B70 0AT,Yes,52.524359,-2.022648,398560,291832,SO985918,3/1/1982 12:00:00 AM,,140,,,Dudley Port,1.8,West Bromwich,South Staffordshire Water,Severn Trent,Sandwell,Great Bridge,
B70 0AY,Yes,52.525761,-2.023991,398469,291988,SO984919,1/1/1992 12:00:00 AM,,139,,,Dudley Port,1.7,West Bromwich,South Staffordshire Water,Severn Trent,Sandwell,Great Bridge,
B70 0AZ,Yes,52.526435,-2.025642,398357,292063,SO983920,1/1/1980 12:00:00 AM,,134,,,Dudley Port,1.6,West Bromwich,South Staffordshire Water,Severn Trent,Sandwell,Great Bridge,
B70 0BE,No,52.527498,-2.025088,398395,292181,SO983921,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,135,,,Dudley Port,1.7,West Bromwich,South Staffordshire Water,,Sandwell,Great Bridge,
B70 0BF,Yes,52.527792,-2.027750,398214,292214,SO982922,7/1/2008 12:00:00 AM,,131,3,1,Dudley Port,1.5,West Bromwich,South Staffordshire Water,Severn Trent,Sandwell,Great Bridge,
B70 0BG,Yes,52.527999,-2.025053,398397,292237,SO983922,1/1/1980 12:00:00 AM,,134,2,2,Dudley Port,1.7,West Bromwich,Severn Trent,,Sandwell,Great Bridge,
B70 0BL,Yes,52.528720,-2.027565,398227,292317,SO982923,9/1/2010 12:00:00 AM,,131,,,Dudley Port,1.5,West Bromwich,South Staffordshire Water,Severn Trent,Sandwell,Great Bridge,
B70 0BQ,No,52.528586,-2.027270,398247,292302,SO982923,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,131,,,Dudley Port,1.6,West Bromwich,South Staffordshire Water,,Sandwell,Great Bridge,
B70 0BY,Yes,52.524757,-2.023937,398473,291876,SO984918,12/1/2005 12:00:00 AM,,137,,,Dudley Port,1.7,West Bromwich,South Staffordshire Water,Severn Trent,Sandwell,Great Bridge,
