Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EX14 0SR,No,50.878251,-3.178884,317157,109413,ST171094,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,239,,,Honiton,9.1,,,,Mid Devon,Upper Culm,Willand & Uffculme
EX14 4SR,Yes,50.878548,-3.178011,317219,109445,ST172094,12/1/1999 12:00:00 AM,,239,9,3,Honiton,9.1,,South West Water,,Mid Devon,Upper Culm,Willand & Uffculme
EX15 1LX,Yes,50.876463,-3.453920,297804,109559,SS978095,1/1/1980 12:00:00 AM,,138,5,2,Tiverton Parkway,8.0,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1LY,Yes,50.881089,-3.436948,299008,110050,SS990100,1/1/1980 12:00:00 AM,,138,5,2,Tiverton Parkway,6.7,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1LZ,Yes,50.875222,-3.437123,298983,109398,SS989093,1/1/1980 12:00:00 AM,,98,6,2,Tiverton Parkway,7.2,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1NA,Yes,50.874843,-3.426906,299701,109342,SS997093,1/1/1980 12:00:00 AM,,87,9,4,Tiverton Parkway,6.7,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1NB,Yes,50.883190,-3.409974,300910,110247,ST009102,1/1/1980 12:00:00 AM,,72,44,17,Tiverton Parkway,5.2,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1ND,Yes,50.888282,-3.412772,300724,110817,ST007108,1/1/1980 12:00:00 AM,,79,13,4,Tiverton Parkway,4.9,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1NE,Yes,50.894364,-3.410155,300921,111490,ST009114,1/1/1980 12:00:00 AM,,67,2,1,Tiverton Parkway,4.4,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1NF,Yes,50.876852,-3.408844,300976,109541,ST009095,1/1/1980 12:00:00 AM,,81,36,10,Tiverton Parkway,5.7,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1QP,Yes,50.876712,-3.386055,302579,109495,ST025094,1/1/1980 12:00:00 AM,,58,10,6,Tiverton Parkway,4.9,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1QR,Yes,50.880197,-3.397715,301766,109898,ST017098,1/1/1980 12:00:00 AM,,75,11,3,Tiverton Parkway,4.9,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 1QY,Yes,50.872609,-3.388605,302391,109042,ST023090,1/1/1980 12:00:00 AM,,63,8,3,Tiverton Parkway,5.4,,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 2AW,Yes,50.886441,-3.325124,306885,110498,ST068104,1/1/1980 12:00:00 AM,,123,4,3,Tiverton Parkway,4.2,,South West Water,,Mid Devon,Upper Culm,Willand & Uffculme
EX15 2DW,Yes,50.889404,-3.373650,303478,110890,ST034108,6/1/2008 12:00:00 AM,,77,8,5,Tiverton Parkway,3.2,Willand,South West Water,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2EZ,Yes,50.895040,-3.368639,303842,111510,ST038115,6/1/2009 12:00:00 AM,,84,,,Tiverton Parkway,2.5,Willand,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 2FB,Yes,50.895125,-3.369779,303762,111521,ST037115,8/1/2010 12:00:00 AM,,83,,,Tiverton Parkway,2.6,Willand,South West Water,,Mid Devon,Halberton,Tiverton East
EX15 2FE,Yes,50.888077,-3.373270,303502,110742,ST035107,9/1/2015 12:00:00 AM,,75,,,Tiverton Parkway,3.4,Willand,South West Water,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FF,Yes,50.885005,-3.374643,303399,110402,ST033104,6/1/2016 12:00:00 AM,,77,,,Tiverton Parkway,3.7,Willand,South West Water,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FH,Yes,50.894029,-3.368183,303872,111397,ST038113,10/1/2016 12:00:00 AM,,84,,,Tiverton Parkway,2.6,Willand,South West Water,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FJ,Yes,50.886178,-3.372772,303533,110530,ST035105,4/1/2018 12:00:00 AM,,85,,,Tiverton Parkway,3.6,Willand,,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FL,Yes,50.884384,-3.375463,303340,110334,ST033103,8/1/2019 12:00:00 AM,,77,,,Tiverton Parkway,3.8,Willand,,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FN,Yes,50.894637,-3.369281,303796,111466,ST037114,4/1/2019 12:00:00 AM,,81,,,Tiverton Parkway,2.6,Willand,,,Mid Devon,Halberton,Tiverton East
EX15 2FP,Yes,50.892560,-3.379159,303097,111248,ST030112,2/1/2021 12:00:00 AM,,85,,,Tiverton Parkway,3.1,Willand,,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FQ,Yes,50.894189,-3.368330,303862,111415,ST038114,7/1/2021 12:00:00 AM,,85,,,Tiverton Parkway,2.6,Willand,,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FR,Yes,50.886607,-3.376865,303246,110583,ST032105,8/1/2023 12:00:00 AM,,72,,,Tiverton Parkway,3.6,,,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FS,Yes,50.894130,-3.373390,303506,111415,ST035114,6/1/1997 12:00:00 AM,,80,,,Tiverton Parkway,2.7,Willand,South West Water,,Mid Devon,Lower Culm,Willand & Uffculme
EX15 2FT,No,50.894339,-3.373809,303477,111439,ST034114,3/1/2006 12:00:00 AM,5/1/2007 12:00:00 AM,80,,,Tiverton Parkway,2.7,Willand,,,Mid Devon,Lower Culm,Willand & Uffculme
