Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DA13 0JR,Yes,51.368587,0.327789,562134,165852,TQ621658,1/1/1980 12:00:00 AM,,130,15,5,Meopham,2.8,,South East Water,,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA13 0JS,Yes,51.362861,0.329452,562270,165219,TQ622652,1/1/1980 12:00:00 AM,,136,17,6,Meopham,3.2,,South East Water,,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7AA,Yes,51.387833,0.302304,560293,167936,TQ602679,1/1/1980 12:00:00 AM,,101,59,23,Longfield,0.9,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7BH,Yes,51.387149,0.300487,560169,167856,TQ601678,1/1/1980 12:00:00 AM,,100,111,30,Longfield,1.0,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7BL,Yes,51.386521,0.303158,560357,167792,TQ603677,12/1/1997 12:00:00 AM,,101,8,3,Longfield,1.1,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7BP,Yes,51.395528,0.300132,560115,168787,TQ601687,7/1/2018 12:00:00 AM,,64,,,Longfield,0.1,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7BS,Yes,51.392290,0.304756,560448,168437,TQ604684,1/1/2020 12:00:00 AM,,86,,,Longfield,0.5,"Longfield, New Ash Green and Hartley",,,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7BT,Yes,51.388111,0.308254,560706,167980,TQ607679,1/1/1980 12:00:00 AM,,99,98,44,Longfield,1.0,"Longfield, New Ash Green and Hartley",South East Water,Southern Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7BW,Yes,51.390462,0.305800,560527,168236,TQ605682,3/1/2023 12:00:00 AM,,92,,,Longfield,0.7,"Longfield, New Ash Green and Hartley",,,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7BY,Yes,51.387445,0.310578,560870,167911,TQ608679,1/1/1980 12:00:00 AM,,100,71,33,Longfield,1.2,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7BZ,Yes,51.387691,0.309944,560825,167937,TQ608679,1/1/1980 12:00:00 AM,,100,53,23,Longfield,1.2,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7DA,Yes,51.385797,0.311587,560946,167730,TQ609677,1/1/1980 12:00:00 AM,,103,13,8,Longfield,1.4,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7DB,Yes,51.390553,0.310749,560871,168257,TQ608682,1/1/1980 12:00:00 AM,,91,9,3,Longfield,1.0,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7DE,Yes,51.390764,0.314641,561141,168289,TQ611682,1/1/1980 12:00:00 AM,,83,83,32,Longfield,1.2,"Longfield, New Ash Green and Hartley",South East Water,Southern Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7DF,Yes,51.387855,0.312122,560976,167960,TQ609679,1/1/1980 12:00:00 AM,,98,95,40,Longfield,1.2,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7DG,Yes,51.392038,0.310723,560864,168422,TQ608684,1/1/1980 12:00:00 AM,,80,107,33,Longfield,0.9,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
DA3 7DH,Yes,51.387082,0.312098,560977,167874,TQ609678,1/1/1980 12:00:00 AM,,100,73,28,Longfield,1.3,"Longfield, New Ash Green and Hartley",South East Water,Thames Water,Sevenoaks,Hartley and Hodsoll Street,Sevenoaks Rural North East
