Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SW11 1HS,Yes,51.456653,-0.173315,527011,174657,TQ270746,1/1/1980 12:00:00 AM,,24,13,3,Clapham Junction,0.9,Wandsworth,Thames Water,,Wandsworth,Wandsworth Common,
SW12 8AS,No,51.447569,-0.156552,528201,173676,TQ282736,5/1/1994 12:00:00 AM,12/1/1998 12:00:00 AM,22,,,Wandsworth Common,0.5,Wandsworth,,,Wandsworth,Balham,
SW12 8BY,Yes,51.443420,-0.156866,528191,173214,TQ281732,8/1/2016 12:00:00 AM,,25,,,Balham,0.3,Wandsworth,Thames Water,,Wandsworth,Trinity,
SW12 8DA,Yes,51.444108,-0.156648,528204,173291,TQ282732,1/1/1980 12:00:00 AM,,22,33,13,Balham,0.3,Wandsworth,Thames Water,,Wandsworth,Balham,
SW12 8DD,No,51.445088,-0.156666,528200,173400,TQ282733,9/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,24,,,Balham,0.3,Wandsworth,,,Wandsworth,Balham,
SW12 8DE,No,51.445088,-0.156666,528200,173400,TQ282733,7/1/1986 12:00:00 AM,12/1/1986 12:00:00 AM,24,,,Balham,0.3,Wandsworth,,,Wandsworth,Balham,
SW12 8DF,Yes,51.445328,-0.156455,528214,173427,TQ282734,1/1/1980 12:00:00 AM,,24,113,45,Balham,0.4,Wandsworth,Thames Water,,Wandsworth,Balham,
SW12 8DG,Yes,51.445604,-0.156847,528186,173457,TQ281734,1/1/1980 12:00:00 AM,,24,105,39,Balham,0.4,Wandsworth,Thames Water,,Wandsworth,Balham,
SW12 8DH,Yes,51.445095,-0.158770,528054,173397,TQ280733,1/1/1980 12:00:00 AM,,24,56,21,Wandsworth Common,0.3,Wandsworth,Thames Water,,Wandsworth,Balham,
SW12 8DL,No,51.447469,-0.156513,528204,173665,TQ282736,8/1/1992 12:00:00 AM,7/1/2000 12:00:00 AM,22,,,Wandsworth Common,0.5,Wandsworth,,,Wandsworth,Balham,
