Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NP1 5BN,No,51.688137,-3.106601,323600,199400,ST236994,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,340,,,Llanhilleth,2.4,,Dwr Cymru Welsh Water,,Torfaen,Pontypool Fawr,
NP1 5BP,No,51.686284,-3.112342,323200,199200,ST232991,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,298,,,Llanhilleth,2.2,,,,Torfaen,Pontypool Fawr,
NP1 5BQ,No,51.685385,-3.112320,323200,199100,ST232990,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,276,,,Llanhilleth,2.3,,,,Torfaen,Pontypool Fawr,
NP1 5BR,No,51.686339,-3.106557,323600,199200,ST236992,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,326,,,Llanhilleth,2.5,,,,Torfaen,Pontypool Fawr,
NP11 5BN,Yes,51.688031,-3.110230,323349,199392,ST233993,6/1/1999 12:00:00 AM,,314,17,6,Llanhilleth,2.2,,Dwr Cymru Welsh Water,,Torfaen,Pontypool Fawr,
NP11 5BP,Yes,51.687035,-3.111869,323234,199283,ST232992,6/1/1999 12:00:00 AM,,303,5,2,Llanhilleth,2.2,,Dwr Cymru Welsh Water,,Torfaen,Pontypool Fawr,
NP11 5BQ,Yes,51.686182,-3.112043,323221,199188,ST232991,6/1/1999 12:00:00 AM,,298,3,2,Llanhilleth,2.2,,Dwr Cymru Welsh Water,,Torfaen,Pontypool Fawr,
NP11 5BR,Yes,51.687135,-3.106071,323635,199288,ST236992,6/1/1999 12:00:00 AM,,336,,,Llanhilleth,2.5,,Dwr Cymru Welsh Water,,Torfaen,Pontypool Fawr,
NP18 1GA,Yes,51.631558,-2.977622,332432,192980,ST324929,5/1/2007 12:00:00 AM,,26,,,Cwmbran,3.8,Ponthir,Dwr Cymru Welsh Water,,Torfaen,Llanfrechfa and Ponthir,
NP18 1GD,Yes,51.633579,-2.979697,332291,193207,ST322932,6/1/1999 12:00:00 AM,,35,8,4,Cwmbran,3.6,Ponthir,Dwr Cymru Welsh Water,,Torfaen,Llanfrechfa and Ponthir,
NP18 1GE,Yes,51.629056,-2.971147,332876,192696,ST328926,6/1/1999 12:00:00 AM,,20,12,11,Cwmbran,4.4,Ponthir,Dwr Cymru Welsh Water,,Torfaen,Llanfrechfa and Ponthir,
NP18 1GF,Yes,51.628269,-2.969541,332986,192607,ST329926,6/1/1999 12:00:00 AM,,19,12,5,Cwmbran,4.5,Ponthir,Dwr Cymru Welsh Water,,Torfaen,Llanfrechfa and Ponthir,
