Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
N15 3AA,Yes,51.584643,-0.092520,532253,189033,TQ322890,1/1/1980 12:00:00 AM,,18,182,85,Harringay Green Lanes,0.9,Haringey,Thames Water,,Haringey,St Ann's,
N15 3AB,Yes,51.583988,-0.093168,532210,188959,TQ322889,1/1/1980 12:00:00 AM,,18,68,24,Harringay Green Lanes,0.8,Haringey,Thames Water,,Haringey,St Ann's,
N15 3AD,Yes,51.583631,-0.092808,532236,188920,TQ322889,1/1/1980 12:00:00 AM,,19,121,45,Harringay Green Lanes,0.8,Haringey,Thames Water,,Haringey,St Ann's,
N15 3AE,No,51.579873,-0.095044,532092,188498,TQ320884,12/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,21,,,Harringay Green Lanes,0.4,Haringey,,,Haringey,Hermitage & Gardens,
N15 3AF,Yes,51.589103,-0.101385,531626,189513,TQ316895,5/1/2007 12:00:00 AM,,24,13,6,Turnpike Lane,0.2,Haringey,Thames Water,,Haringey,West Green,
N15 3AG,No,51.576105,-0.097279,531948,188075,TQ319880,6/1/2001 12:00:00 AM,6/1/2008 12:00:00 AM,25,,,Harringay Green Lanes,0.1,Haringey,,,Haringey,Hermitage & Gardens,
N15 3AH,Yes,51.583796,-0.091285,532341,188941,TQ323889,1/1/1980 12:00:00 AM,,18,54,16,Harringay Green Lanes,0.9,Haringey,Thames Water,,Haringey,St Ann's,
N15 3AJ,Yes,51.584805,-0.091965,532291,189052,TQ322890,1/1/1980 12:00:00 AM,,19,139,58,Harringay Green Lanes,0.9,Haringey,Thames Water,,Haringey,St Ann's,
N15 3AL,Yes,51.585041,-0.091367,532332,189079,TQ323890,1/1/1980 12:00:00 AM,,19,156,55,Turnpike Lane,1.0,Haringey,Thames Water,,Haringey,St Ann's,
N15 3AN,Yes,51.586360,-0.091409,532325,189226,TQ323892,6/1/2014 12:00:00 AM,,20,,,Turnpike Lane,0.9,Haringey,Thames Water,,Haringey,West Green,
N15 3AP,Yes,51.584890,-0.089828,532439,189065,TQ324890,1/1/1980 12:00:00 AM,,17,155,54,Harringay Green Lanes,1.0,Haringey,Thames Water,,Haringey,St Ann's,
N15 3AQ,Yes,51.583838,-0.090028,532428,188948,TQ324889,6/1/1981 12:00:00 AM,,17,14,5,Harringay Green Lanes,0.9,Haringey,Thames Water,,Haringey,St Ann's,
