Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NE12 9NA,No,55.031549,-1.488392,432800,570900,NZ328708,2/1/1990 12:00:00 AM,12/1/1990 12:00:00 AM,59,,,Cramlington,9.4,,,,North Tyneside,New York & Murton,
NE25 0SZ,Yes,55.054244,-1.487289,432852,573426,NZ328734,1/1/1980 12:00:00 AM,,33,2,1,Cramlington,8.0,,Northumbrian Water,,North Tyneside,St Mary's,
NE25 0WT,No,55.018204,-1.490329,432687,569414,NZ326694,2/1/2005 12:00:00 AM,8/1/2017 12:00:00 AM,65,,,Heworth,8.5,Tynemouth,,,North Tyneside,New York & Murton,
NE25 0WU,No,55.018204,-1.490361,432685,569414,NZ326694,9/1/2004 12:00:00 AM,2/1/2006 12:00:00 AM,65,,,Heworth,8.5,Tynemouth,,,North Tyneside,New York & Murton,
NE25 0WZ,No,55.018204,-1.490361,432685,569414,NZ326694,12/1/2011 12:00:00 AM,12/1/2012 12:00:00 AM,65,,,Heworth,8.5,Tynemouth,,,North Tyneside,New York & Murton,
NE25 0YP,No,55.018204,-1.490361,432685,569414,NZ326694,6/1/2002 12:00:00 AM,7/1/2004 12:00:00 AM,65,,,Heworth,8.5,Tynemouth,,,North Tyneside,New York & Murton,
NE25 0YQ,No,55.018204,-1.490361,432685,569414,NZ326694,6/1/2001 12:00:00 AM,4/1/2009 12:00:00 AM,65,,,Heworth,8.5,Tynemouth,,,North Tyneside,New York & Murton,
NE25 0YS,No,55.018204,-1.490361,432685,569414,NZ326694,6/1/2000 12:00:00 AM,6/1/2003 12:00:00 AM,65,,,Heworth,8.5,Tynemouth,,,North Tyneside,New York & Murton,
NE25 0YY,No,55.018204,-1.490361,432685,569414,NZ326694,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,65,,,Heworth,8.5,Tynemouth,,,North Tyneside,New York & Murton,
NE25 8AA,Yes,55.040632,-1.464851,434297,571922,NZ342719,1/1/1980 12:00:00 AM,,42,78,53,Cramlington,10.0,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AB,Yes,55.039701,-1.463502,434384,571819,NZ343718,8/1/2012 12:00:00 AM,,41,,,Cramlington,10.1,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AD,Yes,55.040529,-1.463914,434357,571911,NZ343719,1/1/1980 12:00:00 AM,,42,25,10,Cramlington,10.1,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AE,No,55.040434,-1.464807,434300,571900,NZ342718,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,41,,,Cramlington,10.0,Whitley Bay,,,North Tyneside,Monkseaton,
NE25 8AF,No,55.040434,-1.464807,434300,571900,NZ342718,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,41,,,Cramlington,10.0,Whitley Bay,,,North Tyneside,Monkseaton,
NE25 8AG,Yes,55.040455,-1.463414,434389,571903,NZ343719,5/1/2007 12:00:00 AM,,41,23,8,Cramlington,10.1,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AH,No,55.040434,-1.464807,434300,571900,NZ342718,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,41,,,Cramlington,10.0,Whitley Bay,,,North Tyneside,Monkseaton,
NE25 8AJ,Yes,55.041352,-1.460961,434545,572004,NZ345720,1/1/1980 12:00:00 AM,,38,11,5,Cramlington,10.2,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AL,Yes,55.041932,-1.460325,434585,572069,NZ345720,1/1/1980 12:00:00 AM,,36,5,2,Cramlington,10.2,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AN,Yes,55.041666,-1.460878,434550,572039,NZ345720,1/1/1980 12:00:00 AM,,37,9,3,Cramlington,10.2,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AP,Yes,55.041061,-1.462138,434470,571971,NZ344719,1/1/1980 12:00:00 AM,,40,9,7,Cramlington,10.1,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AQ,Yes,55.041131,-1.461887,434486,571979,NZ344719,1/1/1980 12:00:00 AM,,40,10,4,Cramlington,10.1,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AR,Yes,55.041874,-1.459013,434669,572063,NZ346720,1/1/1980 12:00:00 AM,,34,109,34,Cramlington,10.2,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AS,Yes,55.040945,-1.456287,434844,571961,NZ348719,1/1/1980 12:00:00 AM,,33,42,23,Cramlington,10.4,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AT,Yes,55.040146,-1.456423,434836,571872,NZ348718,1/1/1980 12:00:00 AM,,35,65,24,Cramlington,10.5,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AU,Yes,55.040697,-1.457089,434793,571933,NZ347719,1/1/1980 12:00:00 AM,,34,83,39,Cramlington,10.4,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AW,No,55.039856,-1.466176,434213,571835,NZ342718,1/1/1980 12:00:00 AM,9/1/2002 12:00:00 AM,41,,,Cramlington,10.0,Whitley Bay,,,North Tyneside,Monkseaton,
NE25 8AX,Yes,55.041031,-1.459961,434609,571969,NZ346719,1/1/1980 12:00:00 AM,,36,20,10,Cramlington,10.2,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AY,Yes,55.041220,-1.457909,434740,571991,NZ347719,1/1/1980 12:00:00 AM,,33,32,16,Cramlington,10.3,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8AZ,Yes,55.041825,-1.458138,434725,572058,NZ347720,1/1/1980 12:00:00 AM,,33,12,7,Cramlington,10.3,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BA,Yes,55.040548,-1.457951,434738,571916,NZ347719,1/1/1980 12:00:00 AM,,35,121,41,Cramlington,10.4,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BB,Yes,55.040415,-1.458329,434714,571901,NZ347719,1/1/1980 12:00:00 AM,,36,82,37,Cramlington,10.4,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BD,Yes,55.040291,-1.458753,434687,571887,NZ346718,1/1/1980 12:00:00 AM,,37,78,28,Cramlington,10.3,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BE,Yes,55.041545,-1.459847,434616,572026,NZ346720,1/1/1980 12:00:00 AM,,36,47,18,Cramlington,10.2,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BF,Yes,55.040399,-1.464886,434295,571896,NZ342718,4/1/2012 12:00:00 AM,,41,,,Cramlington,10.0,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BG,Yes,55.040267,-1.459426,434644,571884,NZ346718,1/1/1980 12:00:00 AM,,38,92,37,Cramlington,10.3,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BH,Yes,55.038933,-1.458646,434695,571736,NZ346717,1/1/1980 12:00:00 AM,,42,26,9,Cramlington,10.4,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BJ,Yes,55.039607,-1.460671,434565,571810,NZ345718,1/1/1980 12:00:00 AM,,41,82,30,Cramlington,10.3,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BL,Yes,55.038389,-1.459530,434639,571675,NZ346716,1/1/1980 12:00:00 AM,,44,22,6,Cramlington,10.4,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BN,Yes,55.040627,-1.461722,434497,571923,NZ344719,1/1/1980 12:00:00 AM,,40,28,13,Cramlington,10.2,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8BQ,Yes,55.039361,-1.457811,434748,571784,NZ347717,1/1/1980 12:00:00 AM,,39,10,5,Cramlington,10.4,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DB,Yes,55.041205,-1.464202,434338,571986,NZ343719,9/1/2015 12:00:00 AM,,42,,,Cramlington,10.0,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DF,Yes,55.042124,-1.460872,434550,572090,NZ345720,1/1/1980 12:00:00 AM,,36,24,10,Cramlington,10.1,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DG,Yes,55.042705,-1.462069,434473,572154,NZ344721,1/1/1980 12:00:00 AM,,35,101,39,Cramlington,10.0,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DH,Yes,55.041739,-1.465243,434271,572045,NZ342720,1/1/1980 12:00:00 AM,,42,76,47,Cramlington,9.9,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DJ,No,55.041205,-1.464202,434338,571986,NZ343719,1/1/1980 12:00:00 AM,7/1/2018 12:00:00 AM,42,8,8,Cramlington,10.0,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DL,Yes,55.040894,-1.465176,434276,571951,NZ342719,1/1/1980 12:00:00 AM,,42,19,5,Cramlington,10.0,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DN,No,55.041001,-1.464956,434290,571963,NZ342719,1/1/1980 12:00:00 AM,4/1/2004 12:00:00 AM,42,,,Cramlington,10.0,Whitley Bay,,,North Tyneside,Monkseaton,
NE25 8DP,Yes,55.041412,-1.462431,434451,572010,NZ344720,1/1/1980 12:00:00 AM,,40,28,11,Cramlington,10.1,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DQ,Yes,55.041346,-1.465624,434247,572001,NZ342720,12/1/1996 12:00:00 AM,,42,8,6,Cramlington,9.9,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
NE25 8DR,Yes,55.041100,-1.464861,434296,571974,NZ342719,11/1/2004 12:00:00 AM,,42,22,13,Cramlington,10.0,Whitley Bay,Northumbrian Water,,North Tyneside,Monkseaton,
