Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CF1 6XE,No,51.460334,-3.311239,309000,174300,ST090743,7/1/1986 12:00:00 AM,1/1/1995 12:00:00 AM,118,,,Waun-gron Park,6.4,St Nicholas,,,Vale of Glamorgan,St Nicholas and Llancarfan,
CF1 6YY,No,51.460334,-3.311239,309000,174300,ST090743,12/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,118,,,Waun-gron Park,6.4,St Nicholas,,,Vale of Glamorgan,St Nicholas and Llancarfan,
CF1 6ZD,No,51.460334,-3.311239,309000,174300,ST090743,3/1/1997 12:00:00 AM,9/1/2000 12:00:00 AM,118,,,Waun-gron Park,6.4,St Nicholas,,,Vale of Glamorgan,St Nicholas and Llancarfan,
CF11 7HR,Yes,51.400566,-3.270240,311733,167603,ST117676,10/1/2005 12:00:00 AM,,9,,,Barry Docks,0.7,Barry (Vale of Glamorgan),Dwr Cymru Welsh Water,,Vale of Glamorgan,Castleland,
CF32 0PA,Yes,51.473994,-3.624911,287243,176256,SS872762,1/1/1980 12:00:00 AM,,8,2,1,Bridgend,5.0,,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PB,Yes,51.465888,-3.637508,286348,175374,SS863753,1/1/1980 12:00:00 AM,,29,81,43,Bridgend,6.3,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PD,Yes,51.466661,-3.636211,286440,175458,SS864754,1/1/1980 12:00:00 AM,,43,74,37,Bridgend,6.2,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PE,Yes,51.466466,-3.634750,286541,175434,SS865754,1/1/1980 12:00:00 AM,,57,59,23,Bridgend,6.1,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PF,Yes,51.462374,-3.634793,286528,174979,SS865749,1/1/1980 12:00:00 AM,,41,13,7,Bridgend,6.4,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PG,Yes,51.463091,-3.636860,286386,175062,SS863750,1/1/1980 12:00:00 AM,,28,46,21,Bridgend,6.5,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PH,Yes,51.462602,-3.636497,286410,175007,SS864750,1/1/1980 12:00:00 AM,,27,62,26,Bridgend,6.5,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PJ,Yes,51.463817,-3.637649,286333,175144,SS863751,3/1/1982 12:00:00 AM,,26,78,35,Bridgend,6.5,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PL,Yes,51.462678,-3.632340,286699,175009,SS866750,1/1/1980 12:00:00 AM,,59,36,15,Bridgend,6.3,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PN,Yes,51.460954,-3.632842,286660,174818,SS866748,1/1/1980 12:00:00 AM,,40,25,13,Bridgend,6.5,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PP,Yes,51.460471,-3.630015,286855,174760,SS868747,1/1/1980 12:00:00 AM,,60,65,30,Bridgend,6.4,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PQ,Yes,51.464317,-3.636026,286447,175197,SS864751,3/1/1982 12:00:00 AM,,39,66,28,Bridgend,6.3,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PR,Yes,51.458767,-3.630343,286828,174571,SS868745,1/1/1980 12:00:00 AM,,42,35,17,Bridgend,6.6,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PS,Yes,51.459371,-3.628897,286930,174636,SS869746,1/1/1980 12:00:00 AM,,60,26,12,Bridgend,6.5,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PT,Yes,51.458720,-3.628557,286952,174563,SS869745,1/1/1980 12:00:00 AM,,57,8,4,Bridgend,6.5,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PU,Yes,51.458533,-3.627730,287009,174541,SS870745,1/1/1980 12:00:00 AM,,60,97,44,Bridgend,6.5,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PW,Yes,51.460901,-3.631427,286758,174810,SS867748,1/1/1980 12:00:00 AM,,52,18,9,Bridgend,6.4,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PX,Yes,51.462683,-3.633866,286593,175012,SS865750,5/1/1994 12:00:00 AM,,45,3,3,Bridgend,6.4,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PY,Yes,51.453542,-3.617405,287714,173970,SS877739,1/1/1980 12:00:00 AM,,61,23,12,Bridgend,6.6,,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0PZ,Yes,51.461360,-3.630753,286806,174860,SS868748,6/1/1997 12:00:00 AM,,61,45,20,Bridgend,6.4,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0QA,Yes,51.464826,-3.638837,286253,175258,SS862752,7/1/1995 12:00:00 AM,,19,4,3,Bridgend,6.4,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
CF32 0QB,Yes,51.461050,-3.628498,286962,174822,SS869748,6/1/2015 12:00:00 AM,,76,,,Bridgend,6.3,Ogmore-by-Sea,Dwr Cymru Welsh Water,,Vale of Glamorgan,St Bride's Major,
