Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LS26 0AA,Yes,53.755128,-1.490509,433691,428872,SE336288,1/1/1980 12:00:00 AM,,79,8,4,Woodlesford,3.1,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AB,Yes,53.756998,-1.470272,435024,429090,SE350290,1/1/1980 12:00:00 AM,,63,14,12,Woodlesford,1.8,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AD,Yes,53.747337,-1.478503,434489,428011,SE344280,1/1/1980 12:00:00 AM,,44,,,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AE,Yes,53.747241,-1.478944,434460,428000,SE344280,1/1/1980 12:00:00 AM,,45,6,2,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AF,Yes,53.748791,-1.477893,434528,428173,SE345281,1/1/2008 12:00:00 AM,,37,,,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AG,Yes,53.747145,-1.477872,434531,427990,SE345279,1/1/1980 12:00:00 AM,,44,28,10,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AH,Yes,53.746891,-1.477420,434561,427962,SE345279,7/1/1986 12:00:00 AM,,45,8,4,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AJ,Yes,53.744116,-1.475662,434679,427654,SE346276,1/1/1980 12:00:00 AM,,59,41,19,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AL,Yes,53.747026,-1.477096,434582,427977,SE345279,7/1/1986 12:00:00 AM,,44,6,4,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AN,No,53.748351,-1.477899,434528,428124,SE345281,1/1/1980 12:00:00 AM,10/1/2016 12:00:00 AM,39,,,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AP,Yes,53.748410,-1.477371,434563,428131,SE345281,1/1/1980 12:00:00 AM,,39,1,1,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AQ,Yes,53.746675,-1.477146,434579,427938,SE345279,1/1/1980 12:00:00 AM,,46,26,15,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AR,No,53.748602,-1.477759,434537,428152,SE345281,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,38,,,Woodlesford,2.5,Rothwell (Leeds),,,Leeds,Rothwell,
LS26 0AS,No,53.748137,-1.478326,434500,428100,SE344281,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,40,,,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AT,Yes,53.748705,-1.476833,434598,428164,SE345281,1/1/1980 12:00:00 AM,,39,9,5,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AU,Yes,53.749699,-1.475895,434659,428275,SE346282,1/1/1980 12:00:00 AM,,36,7,5,Woodlesford,2.3,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AW,Yes,53.748596,-1.476838,434598,428152,SE345281,1/1/1980 12:00:00 AM,,39,,,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AX,Yes,53.748476,-1.475865,434662,428139,SE346281,1/1/1980 12:00:00 AM,,39,17,8,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AY,Yes,53.745396,-1.476404,434629,427796,SE346277,1/1/1980 12:00:00 AM,,52,28,14,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0AZ,Yes,53.747891,-1.475690,434674,428074,SE346280,1/1/1980 12:00:00 AM,,42,19,11,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BA,Yes,53.747848,-1.475934,434658,428069,SE346280,1/1/1980 12:00:00 AM,,42,21,11,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BB,Yes,53.747961,-1.477115,434580,428081,SE345280,1/1/1980 12:00:00 AM,,41,2,1,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BD,Yes,53.745307,-1.478634,434482,427785,SE344277,1/1/1980 12:00:00 AM,,53,63,28,Woodlesford,2.7,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BE,Yes,53.746959,-1.476202,434641,427970,SE346279,1/1/1980 12:00:00 AM,,45,29,13,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BF,Yes,53.746742,-1.480132,434382,427944,SE343279,10/1/2008 12:00:00 AM,,48,12,6,Woodlesford,2.7,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BG,Yes,53.747238,-1.476582,434616,428001,SE346280,1/1/1980 12:00:00 AM,,44,5,3,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BH,Yes,53.746651,-1.473719,434805,427937,SE348279,1/1/1980 12:00:00 AM,,50,40,18,Woodlesford,2.3,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BJ,Yes,53.745536,-1.471383,434960,427814,SE349278,1/1/1980 12:00:00 AM,,60,31,16,Woodlesford,2.3,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BL,Yes,53.745150,-1.471494,434953,427771,SE349277,1/1/1980 12:00:00 AM,,62,66,29,Woodlesford,2.3,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BN,Yes,53.744726,-1.473198,434841,427723,SE348277,1/1/1980 12:00:00 AM,,61,55,28,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BP,Yes,53.746330,-1.476316,434634,427900,SE346278,1/1/1980 12:00:00 AM,,47,59,20,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BQ,Yes,53.747054,-1.475598,434681,427981,SE346279,1/1/1980 12:00:00 AM,,45,5,2,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BR,Yes,53.746184,-1.475757,434671,427884,SE346278,1/1/1980 12:00:00 AM,,49,12,7,Woodlesford,2.5,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BS,Yes,53.745112,-1.477181,434578,427764,SE345277,1/1/1980 12:00:00 AM,,53,10,4,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BT,Yes,53.738786,-1.473973,434795,427062,SE347270,1/1/1980 12:00:00 AM,,79,8,2,Woodlesford,2.9,,Yorkshire Water,,Leeds,Rothwell,
LS26 0BU,Yes,53.746372,-1.478063,434519,427904,SE345279,1/1/1980 12:00:00 AM,,47,49,24,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BW,Yes,53.745189,-1.474375,434763,427774,SE347277,1/1/1980 12:00:00 AM,,57,111,46,Woodlesford,2.4,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BX,Yes,53.745791,-1.478476,434492,427839,SE344278,8/1/1993 12:00:00 AM,,50,32,11,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BY,Yes,53.746691,-1.478586,434484,427939,SE344279,1/1/1980 12:00:00 AM,,46,4,1,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0BZ,No,53.751705,-1.484469,434092,428494,SE340284,6/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,58,,,Woodlesford,2.8,Rothwell (Leeds),,,Leeds,Rothwell,
LS26 0DA,Yes,53.747268,-1.479281,434438,428003,SE344280,1/1/1980 12:00:00 AM,,46,1,1,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0DB,Yes,53.747892,-1.479860,434399,428072,SE343280,1/1/1980 12:00:00 AM,,43,4,1,Woodlesford,2.6,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0DD,Yes,53.746112,-1.480250,434375,427874,SE343278,1/1/2016 12:00:00 AM,,50,,,Woodlesford,2.7,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0DE,Yes,53.747419,-1.480624,434349,428019,SE343280,1/1/1980 12:00:00 AM,,46,14,3,Woodlesford,2.7,Rothwell (Leeds),Yorkshire Water,,Leeds,Rothwell,
LS26 0DF,No,53.747750,-1.480469,434359,428056,SE343280,1/1/1980 12:00:00 AM,2/1/2006 12:00:00 AM,44,,,Woodlesford,2.7,Rothwell (Leeds),,,Leeds,Rothwell,
