Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CV21 1TB,No,52.286498,-1.532773,431968,265476,SP319654,1/1/1993 12:00:00 AM,8/1/2002 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1TD,No,52.286498,-1.532773,431968,265476,SP319654,2/1/1990 12:00:00 AM,8/1/2003 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1XU,No,52.286498,-1.532773,431968,265476,SP319654,12/1/2000 12:00:00 AM,2/1/2003 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1XZ,No,52.286498,-1.532773,431968,265476,SP319654,6/1/2000 12:00:00 AM,1/1/2002 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1YA,No,52.286498,-1.532773,431968,265476,SP319654,12/1/2001 12:00:00 AM,11/1/2003 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1YD,No,52.286498,-1.532773,431968,265476,SP319654,6/1/2000 12:00:00 AM,1/1/2002 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1YE,No,52.286498,-1.532773,431968,265476,SP319654,6/1/2000 12:00:00 AM,7/1/2002 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1YG,No,52.286498,-1.532773,431968,265476,SP319654,6/1/2000 12:00:00 AM,1/1/2002 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1YH,No,52.286498,-1.532773,431968,265476,SP319654,6/1/2000 12:00:00 AM,4/1/2002 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
CV21 1YJ,No,52.286498,-1.532773,431968,265476,SP319654,12/1/1999 12:00:00 AM,4/1/2002 12:00:00 AM,56,,,Leamington Spa,0.3,Royal Leamington Spa,,,Warwick,Leamington Willes,Leamington Willes
