Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
WD1 1AA,No,51.648620,-0.424507,509100,195600,TQ090956,2/1/1990 12:00:00 AM,5/1/1994 12:00:00 AM,56,,,Watford,1.1,Watford (Watford),,,Watford,Holywell,West Watford
WD1 1AB,No,51.663771,-0.396595,510994,197327,TQ109973,12/1/1994 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.0,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AD,No,51.662480,-0.395513,511072,197185,TQ110971,3/1/1988 12:00:00 AM,6/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AE,No,51.662480,-0.395513,511072,197185,TQ110971,12/1/1994 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AF,No,51.648620,-0.424507,509100,195600,TQ090956,1/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,56,,,Watford,1.1,Watford (Watford),,,Watford,Holywell,West Watford
WD1 1AG,No,51.662480,-0.395513,511072,197185,TQ110971,6/1/1997 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AH,No,51.662480,-0.395513,511072,197185,TQ110971,12/1/1995 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AJ,No,51.662480,-0.395513,511072,197185,TQ110971,1/1/1993 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AL,No,51.663283,-0.390482,511418,197282,TQ114972,1/1/1995 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.4,Watford (Watford),,,Watford,Tudor,Meriden Tudor
WD1 1AN,No,51.664145,-0.391709,511331,197376,TQ113973,1/1/1995 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.3,Watford (Watford),,,Watford,Tudor,Meriden Tudor
WD1 1AP,No,51.663675,-0.398796,510842,197313,TQ108973,1/1/1995 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AQ,No,51.662480,-0.395513,511072,197185,TQ110971,12/1/1994 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AR,No,51.662989,-0.390709,511403,197249,TQ114972,7/1/1995 12:00:00 AM,7/1/2000 12:00:00 AM,72,,,Watford Junction,0.4,Watford (Watford),,,Watford,Tudor,Meriden Tudor
WD1 1AS,No,51.663137,-0.392265,511295,197263,TQ112972,7/1/1995 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.3,Watford (Watford),,,Watford,Tudor,Meriden Tudor
WD1 1AT,No,51.663675,-0.398796,510842,197313,TQ108973,6/1/1999 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AU,No,51.662443,-0.395442,511077,197181,TQ110971,6/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AW,No,51.663682,-0.392015,511311,197324,TQ113973,1/1/1995 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.3,Watford (Watford),,,Watford,Tudor,Meriden Tudor
WD1 1AX,No,51.663415,-0.391605,511340,197295,TQ113972,12/1/1996 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.3,Watford (Watford),,,Watford,Tudor,Meriden Tudor
WD1 1AY,No,51.662443,-0.395442,511077,197181,TQ110971,6/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1AZ,No,51.663771,-0.396595,510994,197327,TQ109973,12/1/1995 12:00:00 AM,8/1/1997 12:00:00 AM,71,,,Watford Junction,0.0,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BA,No,51.666370,-0.397270,510941,197615,TQ109976,6/1/1997 12:00:00 AM,7/1/2000 12:00:00 AM,72,,,Watford Junction,0.3,Watford (Watford),,,Watford,Callowland,North Watford
WD1 1BB,No,51.656146,-0.399250,510829,196475,TQ108964,1/1/1980 12:00:00 AM,7/1/2000 12:00:00 AM,79,,,Watford High Street,0.6,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BD,No,51.662443,-0.395442,511077,197181,TQ110971,6/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BE,No,51.662480,-0.395513,511072,197185,TQ110971,6/1/1997 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BH,No,51.654559,-0.398279,510900,196300,TQ109962,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,75,,,Watford High Street,0.5,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BL,No,51.662254,-0.397429,510940,197157,TQ109971,12/1/1998 12:00:00 AM,7/1/2000 12:00:00 AM,75,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BP,No,51.656357,-0.398216,510900,196500,TQ108965,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,79,,,Watford High Street,0.6,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BS,No,51.657256,-0.398184,510900,196600,TQ109966,4/1/1986 12:00:00 AM,8/1/1997 12:00:00 AM,78,,,Watford High Street,0.7,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BT,No,51.659112,-0.402456,510600,196800,TQ105967,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,79,,,Watford Junction,0.6,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BU,No,51.658194,-0.401043,510700,196700,TQ106967,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,78,,,Watford Junction,0.7,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BX,No,51.662480,-0.395513,511072,197185,TQ110971,1/1/1980 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1BZ,No,51.662480,-0.395513,511072,197185,TQ110971,6/1/1997 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DA,No,51.662054,-0.396598,510998,197136,TQ109971,1/1/1980 12:00:00 AM,7/1/2000 12:00:00 AM,76,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DB,No,51.661750,-0.398026,510900,197100,TQ108971,6/1/1998 12:00:00 AM,10/1/2000 12:00:00 AM,74,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DD,No,51.661808,-0.397691,510923,197107,TQ109971,1/1/1980 12:00:00 AM,7/1/2000 12:00:00 AM,75,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DE,No,51.662054,-0.396598,510998,197136,TQ109971,1/1/1991 12:00:00 AM,6/1/2000 12:00:00 AM,76,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DF,No,51.660707,-0.396082,511037,196987,TQ110969,4/1/1985 12:00:00 AM,12/1/1998 12:00:00 AM,74,,,Watford Junction,0.3,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DG,No,51.662997,-0.397823,510911,197239,TQ109972,1/1/1980 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DH,No,51.662749,-0.397455,510937,197212,TQ109972,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,73,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DJ,No,51.662749,-0.397455,510937,197212,TQ109972,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,73,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DL,No,51.662057,-0.395542,511071,197138,TQ110971,1/1/1980 12:00:00 AM,7/1/2000 12:00:00 AM,72,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DN,No,51.662480,-0.395513,511072,197185,TQ110971,1/1/1980 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DP,No,51.662254,-0.397429,510940,197157,TQ109971,1/1/1980 12:00:00 AM,7/1/2000 12:00:00 AM,75,,,Watford Junction,0.2,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DQ,No,51.662480,-0.395513,511072,197185,TQ110971,12/1/1997 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DR,No,51.660068,-0.396668,510998,196915,TQ109969,12/1/1996 12:00:00 AM,7/1/2000 12:00:00 AM,77,,,Watford Junction,0.4,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DS,No,51.662973,-0.397375,510942,197237,TQ109972,1/1/1983 12:00:00 AM,7/1/2000 12:00:00 AM,73,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DT,No,51.662480,-0.395513,511072,197185,TQ110971,4/1/1987 12:00:00 AM,6/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
WD1 1DU,No,51.662480,-0.395513,511072,197185,TQ110971,6/1/2000 12:00:00 AM,7/1/2000 12:00:00 AM,71,,,Watford Junction,0.1,Watford (Watford),,,Watford,Central,Central Watford & Oxhey
