Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
IP13 7BF,Yes,52.272957,1.243000,621351,268821,TM213688,6/1/2017 12:00:00 AM,,26,,,Diss,13.8,,Anglian Water,,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7DY,No,52.240794,1.259612,622645,265296,TM226652,12/1/1996 12:00:00 AM,8/1/2010 12:00:00 AM,61,,,Wickham Market,13.8,,,,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EA,Yes,52.249262,1.253609,622193,266219,TM221662,1/1/1980 12:00:00 AM,,61,12,6,Wickham Market,14.7,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EB,Yes,52.245237,1.261915,622780,265797,TM227657,1/1/1980 12:00:00 AM,,62,14,7,Wickham Market,14.0,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7ED,Yes,52.245018,1.262690,622834,265775,TM228657,1/1/1980 12:00:00 AM,,63,4,3,Wickham Market,14.0,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EE,Yes,52.242206,1.265824,623062,265472,TM230654,1/1/1980 12:00:00 AM,,63,37,16,Wickham Market,13.6,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EF,Yes,52.240436,1.268346,623243,265283,TM232652,1/1/1980 12:00:00 AM,,62,14,6,Wickham Market,13.3,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EG,Yes,52.242447,1.272054,623486,265518,TM234655,1/1/1980 12:00:00 AM,,62,9,2,Wickham Market,13.3,,Anglian Water,,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EH,Yes,52.242751,1.263373,622892,265525,TM228655,1/1/1980 12:00:00 AM,,63,13,5,Wickham Market,13.7,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EJ,Yes,52.241008,1.260696,622718,265323,TM227653,1/1/1980 12:00:00 AM,,62,10,4,Wickham Market,13.7,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EL,Yes,52.236196,1.255802,622408,264773,TM224647,1/1/1980 12:00:00 AM,,61,6,4,Wickham Market,13.6,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EN,Yes,52.241542,1.245235,621660,265335,TM216653,1/1/1980 12:00:00 AM,,59,29,15,Wickham Market,14.5,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EP,Yes,52.233433,1.243457,621579,264428,TM215644,1/1/1980 12:00:00 AM,,34,9,4,Wickham Market,14.0,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EQ,Yes,52.246482,1.279619,623982,265990,TM239659,1/1/1980 12:00:00 AM,,56,2,1,Wickham Market,13.3,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7ER,Yes,52.236638,1.233538,620886,264754,TM208647,1/1/1980 12:00:00 AM,,38,15,6,Wickham Market,14.7,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7ES,Yes,52.244055,1.232979,620811,265577,TM208655,1/1/1980 12:00:00 AM,,56,5,2,Wickham Market,15.3,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7ET,Yes,52.244772,1.232430,620770,265655,TM207656,1/1/1980 12:00:00 AM,,55,4,1,Wickham Market,15.4,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EU,Yes,52.245500,1.232102,620744,265735,TM207657,1/1/1980 12:00:00 AM,,56,5,4,Wickham Market,15.5,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EW,Yes,52.236324,1.239389,621287,264737,TM212647,1/1/1980 12:00:00 AM,,40,2,1,Wickham Market,14.4,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EX,Yes,52.249205,1.232459,620750,266148,TM207661,1/1/1980 12:00:00 AM,,59,20,9,Diss,15.7,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EY,Yes,52.252133,1.230958,620633,266469,TM206664,1/1/1980 12:00:00 AM,,63,18,7,Diss,15.3,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7EZ,Yes,52.255666,1.231010,620619,266862,TM206668,1/1/1980 12:00:00 AM,,63,23,8,Diss,15.0,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7FD,Yes,52.251419,1.253342,622164,266458,TM221664,7/1/2019 12:00:00 AM,,61,,,Wickham Market,14.9,Bedfield,,,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7FE,Yes,52.251419,1.253342,622164,266458,TM221664,7/1/2023 12:00:00 AM,,61,,,Wickham Market,14.9,Bedfield,,,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7GX,Yes,52.272535,1.243937,621417,268777,TM214687,5/1/2013 12:00:00 AM,,63,,,Diss,13.9,,Anglian Water,,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HA,Yes,52.252095,1.224800,620213,266446,TM202664,1/1/1980 12:00:00 AM,,62,3,2,Diss,15.2,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HB,Yes,52.256032,1.221920,619997,266875,TM199668,1/1/1980 12:00:00 AM,,62,5,2,Diss,14.7,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HD,Yes,52.252204,1.236576,621016,266494,TM210664,1/1/1980 12:00:00 AM,,62,2,1,Diss,15.5,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HE,Yes,52.249562,1.244032,621538,266223,TM215662,1/1/1980 12:00:00 AM,,60,4,1,Wickham Market,15.2,,Anglian Water,,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HF,Yes,52.267072,1.259751,622523,268218,TM225682,6/1/1998 12:00:00 AM,,58,15,4,Diss,15.0,Worlingworth,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HG,Yes,52.267237,1.257359,622359,268229,TM223682,6/1/1997 12:00:00 AM,,57,6,2,Diss,14.9,Worlingworth,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HH,Yes,52.260015,1.247214,621703,267395,TM217673,1/1/1980 12:00:00 AM,,64,56,26,Diss,15.2,Bedfield,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HJ,Yes,52.264507,1.243175,621405,267882,TM214678,1/1/1980 12:00:00 AM,,61,5,2,Diss,14.6,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HL,Yes,52.267942,1.239599,621144,268253,TM211682,1/1/1980 12:00:00 AM,,63,2,1,Diss,14.1,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HN,Yes,52.272283,1.240033,621152,268737,TM211687,1/1/1980 12:00:00 AM,,63,65,24,Diss,13.8,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HP,Yes,52.273145,1.241386,621240,268837,TM212688,1/1/1980 12:00:00 AM,,64,18,9,Diss,13.7,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
IP13 7HR,Yes,52.274111,1.246809,621605,268961,TM216689,1/1/1980 12:00:00 AM,,63,18,8,Diss,13.9,,Essex & Suffolk Water,Anglian Water,Mid Suffolk,Hoxne & Worlingworth,Thredling
