Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NN10 0AA,Yes,52.291772,-0.597449,495756,266886,SP957668,1/1/1980 12:00:00 AM,,65,29,15,Wellingborough,5.5,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AB,No,52.292248,-0.594370,495965,266943,SP959669,1/1/1980 12:00:00 AM,9/1/2013 12:00:00 AM,71,,,Wellingborough,5.7,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AD,Yes,52.291590,-0.596473,495823,266867,SP958668,1/1/1980 12:00:00 AM,,67,34,19,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AE,Yes,52.292086,-0.597381,495760,266921,SP957669,1/1/1980 12:00:00 AM,,66,,,Wellingborough,5.5,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AF,Yes,52.290685,-0.596750,495806,266766,SP958667,1/1/1980 12:00:00 AM,,67,,,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AG,Yes,52.292746,-0.596479,495820,266996,SP958669,12/1/2000 12:00:00 AM,,68,,,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AH,Yes,52.292915,-0.597852,495726,267013,SP957670,1/1/1980 12:00:00 AM,,64,44,21,Wellingborough,5.5,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AJ,Yes,52.294819,-0.589801,496271,267235,SP962672,4/1/1986 12:00:00 AM,,78,7,6,Wellingborough,6.0,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AL,Yes,52.293406,-0.597969,495717,267067,SP957670,1/1/1980 12:00:00 AM,,64,23,9,Wellingborough,5.5,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AN,Yes,52.293789,-0.597679,495736,267110,SP957671,1/1/1980 12:00:00 AM,,65,28,13,Wellingborough,5.5,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AP,Yes,52.293806,-0.596798,495796,267113,SP957671,1/1/1980 12:00:00 AM,,68,72,27,Wellingborough,5.5,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AQ,No,52.292789,-0.596772,495800,267000,SP957669,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,69,,,Wellingborough,5.6,Rushden,,,North Northamptonshire,Rushden South,
NN10 0AR,No,52.293688,-0.596744,495800,267100,SP957670,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,69,,,Wellingborough,5.5,Rushden,,,North Northamptonshire,Rushden South,
NN10 0AS,Yes,52.293567,-0.596381,495825,267087,SP958670,1/1/1980 12:00:00 AM,,69,86,19,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AT,Yes,52.292429,-0.597061,495781,266960,SP957669,9/1/1991 12:00:00 AM,,67,50,40,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AU,Yes,52.293716,-0.594894,495926,267106,SP959671,1/1/1980 12:00:00 AM,,73,4,2,Wellingborough,5.7,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AW,Yes,52.294316,-0.598102,495706,267168,SP957671,1/1/1980 12:00:00 AM,,64,,,Wellingborough,5.4,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AX,Yes,52.292710,-0.596159,495842,266992,SP958669,1/1/1980 12:00:00 AM,,70,6,3,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AY,Yes,52.293010,-0.594126,495980,267028,SP959670,1/1/1980 12:00:00 AM,,73,129,57,Wellingborough,5.7,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0AZ,Yes,52.292658,-0.594356,495965,266989,SP959669,1/1/1980 12:00:00 AM,,72,165,66,Wellingborough,5.7,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BA,Yes,52.293826,-0.590565,496221,267124,SP962671,1/1/1980 12:00:00 AM,,77,45,21,Wellingborough,6.0,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BB,Yes,52.295441,-0.591453,496157,267302,SP961673,1/1/1980 12:00:00 AM,,76,134,54,Wellingborough,5.9,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BD,Yes,52.294922,-0.591616,496147,267244,SP961672,1/1/1980 12:00:00 AM,,77,88,41,Wellingborough,5.9,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BE,Yes,52.296375,-0.589121,496314,267409,SP963674,1/1/1980 12:00:00 AM,,76,111,45,Wellingborough,6.0,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BF,Yes,52.297288,-0.590251,496235,267509,SP962675,4/1/2006 12:00:00 AM,,71,45,24,Wellingborough,5.9,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BG,Yes,52.295148,-0.588735,496343,267273,SP963672,1/1/1980 12:00:00 AM,,79,78,30,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BH,Yes,52.296587,-0.586519,496491,267436,SP964674,1/1/1980 12:00:00 AM,,82,29,11,Wellingborough,6.2,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BJ,Yes,52.297392,-0.586127,496516,267526,SP965675,1/1/1980 12:00:00 AM,,82,73,34,Wellingborough,6.2,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BL,Yes,52.297991,-0.584406,496632,267595,SP966675,1/1/1980 12:00:00 AM,,83,48,18,Wellingborough,6.3,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BN,Yes,52.296372,-0.585089,496589,267414,SP965674,1/1/1980 12:00:00 AM,,84,82,34,Wellingborough,6.3,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BP,Yes,52.295502,-0.586729,496479,267315,SP964673,1/1/1980 12:00:00 AM,,82,17,8,Wellingborough,6.2,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BQ,Yes,52.296042,-0.588267,496373,267373,SP963673,1/1/1980 12:00:00 AM,,79,19,9,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BS,Yes,52.295782,-0.585327,496574,267348,SP965673,1/1/1980 12:00:00 AM,,84,88,32,Wellingborough,6.3,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BT,Yes,52.294582,-0.588049,496391,267211,SP963672,1/1/1980 12:00:00 AM,,79,111,44,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BU,Yes,52.293038,-0.595355,495896,267030,SP958670,7/1/1995 12:00:00 AM,,71,,,Wellingborough,5.7,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BW,Yes,52.296340,-0.586189,496514,267409,SP965674,1/1/1980 12:00:00 AM,,82,73,34,Wellingborough,6.2,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BX,Yes,52.293543,-0.594417,495959,267087,SP959670,10/1/2013 12:00:00 AM,,74,,,Wellingborough,5.7,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BY,Yes,52.286384,-0.590450,496245,266296,SP962662,1/1/1980 12:00:00 AM,,76,62,47,Wellingborough,6.2,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0BZ,Yes,52.286591,-0.591983,496140,266317,SP961663,1/1/1980 12:00:00 AM,,75,37,30,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DA,Yes,52.294128,-0.592917,496060,267154,SP960671,1/1/1980 12:00:00 AM,,77,,,Wellingborough,5.8,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DB,Yes,52.294056,-0.584635,496625,267157,SP966671,2/1/1984 12:00:00 AM,,84,31,14,Wellingborough,6.3,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DD,Yes,52.286934,-0.590579,496235,266357,SP962663,4/1/1985 12:00:00 AM,,77,33,29,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DE,Yes,52.291339,-0.596069,495851,266840,SP958668,9/1/1991 12:00:00 AM,,68,29,20,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DF,Yes,52.291756,-0.589268,496314,266895,SP963668,1/1/1980 12:00:00 AM,,78,23,17,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DG,Yes,52.294375,-0.595505,495883,267178,SP958671,10/1/1987 12:00:00 AM,,71,22,5,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DH,Yes,52.291432,-0.596082,495850,266850,SP958668,2/1/1990 12:00:00 AM,,68,40,27,Wellingborough,5.6,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DJ,Yes,52.291850,-0.594866,495932,266898,SP959668,1/1/1980 12:00:00 AM,,70,82,39,Wellingborough,5.7,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DL,Yes,52.291746,-0.592993,496060,266889,SP960668,1/1/1980 12:00:00 AM,,74,79,29,Wellingborough,5.8,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DN,Yes,52.291416,-0.592019,496127,266854,SP961668,1/1/1980 12:00:00 AM,,75,23,7,Wellingborough,5.9,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DP,Yes,52.292720,-0.592478,496093,266998,SP960669,1/1/1980 12:00:00 AM,,75,89,38,Wellingborough,5.9,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DQ,Yes,52.291626,-0.594243,495975,266874,SP959668,1/1/1980 12:00:00 AM,,71,,,Wellingborough,5.8,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DR,Yes,52.293166,-0.591744,496142,267049,SP961670,1/1/1980 12:00:00 AM,,76,14,5,Wellingborough,5.9,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DS,Yes,52.292523,-0.591339,496171,266978,SP961669,1/1/1980 12:00:00 AM,,76,95,42,Wellingborough,5.9,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DT,Yes,52.292370,-0.589512,496296,266963,SP962669,1/1/1980 12:00:00 AM,,78,60,27,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DU,Yes,52.293018,-0.589916,496267,267035,SP962670,1/1/1980 12:00:00 AM,,77,17,7,Wellingborough,6.0,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DW,Yes,52.292063,-0.591634,496152,266926,SP961669,1/1/1980 12:00:00 AM,,76,65,32,Wellingborough,5.9,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DX,Yes,52.293388,-0.588937,496333,267077,SP963670,1/1/1980 12:00:00 AM,,78,49,20,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DY,Yes,52.293806,-0.587751,496413,267125,SP964671,1/1/1980 12:00:00 AM,,79,129,60,Wellingborough,6.1,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0DZ,Yes,52.294987,-0.585778,496545,267259,SP965672,1/1/1980 12:00:00 AM,,83,20,11,Wellingborough,6.3,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0EA,Yes,52.293518,-0.586983,496466,267094,SP964670,1/1/1980 12:00:00 AM,,80,132,51,Wellingborough,6.2,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0EB,Yes,52.292410,-0.586065,496531,266972,SP965669,1/1/1980 12:00:00 AM,,82,99,50,Wellingborough,6.3,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0ED,Yes,52.293145,-0.585147,496592,267055,SP965670,1/1/1980 12:00:00 AM,,84,55,23,Wellingborough,6.3,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
NN10 0EE,Yes,52.292232,-0.584722,496623,266954,SP966669,1/1/1980 12:00:00 AM,,85,32,12,Wellingborough,6.4,Rushden,Anglian Water,,North Northamptonshire,Rushden South,
