Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BA16 0HW,Yes,51.126091,-2.757647,347076,136585,ST470365,12/1/1998 12:00:00 AM,,12,,,Bridgwater,16.2,Street,Bristol Water,,Somerset,Mendip West,Mendip West
BA16 0NY,Yes,51.123703,-2.757904,347055,136320,ST470363,1/1/1980 12:00:00 AM,,16,9,3,Bridgwater,16.2,Walton (Mendip),Bristol Water,,Somerset,Mendip West,Mendip West
BA16 0NZ,Yes,51.123099,-2.755365,347232,136251,ST472362,1/1/1980 12:00:00 AM,,16,13,5,Bridgwater,16.4,Street,Bristol Water,,Somerset,Mendip West,Mendip West
BA16 0PT,Yes,51.121425,-2.754223,347310,136064,ST473360,2/1/1990 12:00:00 AM,,20,48,25,Castle Cary,16.3,Street,Bristol Water,,Somerset,Mendip West,Mendip West
BA16 0PU,Yes,51.121303,-2.753578,347355,136050,ST473360,2/1/1990 12:00:00 AM,,21,7,4,Castle Cary,16.3,Street,Bristol Water,,Somerset,Mendip West,Mendip West
BA16 0PW,Yes,51.122158,-2.754949,347260,136146,ST472361,2/1/1990 12:00:00 AM,,17,7,4,Castle Cary,16.4,Street,Bristol Water,,Somerset,Mendip West,Mendip West
BA16 0PX,Yes,51.121522,-2.754539,347288,136075,ST472360,2/1/1990 12:00:00 AM,,19,10,5,Castle Cary,16.3,Street,Bristol Water,,Somerset,Mendip West,Mendip West
BA16 0PY,Yes,51.121690,-2.755461,347224,136094,ST472360,2/1/1990 12:00:00 AM,,18,7,3,Bridgwater,16.4,Street,Bristol Water,,Somerset,Mendip West,Mendip West
BA16 0PZ,Yes,51.121854,-2.754558,347287,136112,ST472361,2/1/1990 12:00:00 AM,,18,29,16,Castle Cary,16.4,Street,Bristol Water,,Somerset,Mendip West,Mendip West
BA16 9AB,Yes,51.124034,-2.776447,345758,136370,ST457363,8/1/2019 12:00:00 AM,,29,,,Bridgwater,14.9,Walton (Mendip),,,Somerset,Mendip West,Mendip West
BA16 9AE,Yes,51.124554,-2.763067,346695,136418,ST466364,1/1/2021 12:00:00 AM,,8,,,Bridgwater,15.9,Walton (Mendip),,,Somerset,Mendip West,Mendip West
BA16 9AF,Yes,51.124532,-2.766367,346464,136418,ST464364,10/1/2022 12:00:00 AM,,20,,,Bridgwater,15.6,Walton (Mendip),,,Somerset,Mendip West,Mendip West
BA16 9LA,Yes,51.124522,-2.768834,346291,136419,ST462364,12/1/1994 12:00:00 AM,,27,48,15,Bridgwater,15.5,Walton (Mendip),Bristol Water,,Somerset,Mendip West,Mendip West
BA16 9LB,Yes,51.124491,-2.770763,346156,136417,ST461364,12/1/1998 12:00:00 AM,,28,63,22,Bridgwater,15.3,Walton (Mendip),Bristol Water,,Somerset,Mendip West,Mendip West
BA16 9LD,Yes,51.125095,-2.769186,346267,136483,ST462364,12/1/1999 12:00:00 AM,,26,26,9,Bridgwater,15.4,Walton (Mendip),Bristol Water,,Somerset,Mendip West,Mendip West
BA16 9QA,Yes,51.124183,-2.763303,346678,136377,ST466363,1/1/1980 12:00:00 AM,,18,,,Bridgwater,15.8,Walton (Mendip),Bristol Water,,Somerset,Mendip West,Mendip West
BA16 9QB,Yes,51.123817,-2.764355,346604,136337,ST466363,1/1/1980 12:00:00 AM,,20,5,2,Bridgwater,15.8,Walton (Mendip),Bristol Water,,Somerset,Mendip West,Mendip West
