Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BA21 5BN,No,50.940951,-2.609111,357300,115900,ST573159,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,31,,,Yeovil Pen Mill,0.5,Yeovil,,,Dorset,Sherborne Rural,
BA21 5BT,Yes,50.940980,-2.606934,357453,115902,ST574159,1/1/1995 12:00:00 AM,,33,,,Yeovil Pen Mill,0.6,Yeovil,Wessex Water,,Dorset,Sherborne Rural,
BA21 5BU,Yes,50.941902,-2.606035,357517,116004,ST575160,1/1/1983 12:00:00 AM,,32,24,9,Yeovil Pen Mill,0.6,Yeovil,Wessex Water,,Dorset,Sherborne Rural,
BA21 5BW,Yes,50.939447,-2.609789,357251,115733,ST572157,1/1/1980 12:00:00 AM,,39,,,Yeovil Pen Mill,0.6,Yeovil,Wessex Water,,Dorset,Sherborne Rural,
BA21 5BY,Yes,50.941545,-2.607169,357437,115965,ST574159,1/1/1980 12:00:00 AM,,33,,,Yeovil Pen Mill,0.5,Yeovil,Wessex Water,,Dorset,Sherborne Rural,
BA21 5BZ,Yes,50.942445,-2.603494,357696,116063,ST576160,1/1/1980 12:00:00 AM,,32,41,18,Yeovil Pen Mill,0.7,Yeovil,Wessex Water,,Dorset,Sherborne Rural,
BA22 9FD,Yes,50.866394,-2.662053,353506,107641,ST535076,3/1/2016 12:00:00 AM,,72,,,Chetnole,6.3,,,,Dorset,Yetminster,
BA22 9QU,Yes,50.867472,-2.676293,352505,107770,ST525077,1/1/1980 12:00:00 AM,,85,27,11,Crewkerne,7.2,,Wessex Water,,Dorset,Yetminster,
BA22 9QX,Yes,50.866062,-2.689672,351562,107622,ST515076,1/1/1980 12:00:00 AM,,89,21,6,Crewkerne,6.3,,Wessex Water,,Dorset,Yetminster,
BA22 9QY,Yes,50.867731,-2.696448,351087,107812,ST510078,1/1/1980 12:00:00 AM,,94,23,8,Crewkerne,5.8,,Wessex Water,,Dorset,Yetminster,
BA22 9QZ,Yes,50.859113,-2.702969,350619,106858,ST506068,1/1/1980 12:00:00 AM,,119,2,1,Crewkerne,5.5,,Wessex Water,,Dorset,Yetminster,
BA22 9RH,Yes,50.881461,-2.604967,357537,109282,ST575092,1/1/1980 12:00:00 AM,,86,7,3,Yetminster,2.7,,Wessex Water,,Dorset,Yetminster,
BA22 9RJ,Yes,50.870822,-2.653348,354123,108128,ST541081,12/1/2001 12:00:00 AM,,68,10,4,Chetnole,5.7,,Wessex Water,,Dorset,Yetminster,
BA22 9RL,Yes,50.871205,-2.652429,354188,108170,ST541081,1/1/1993 12:00:00 AM,,65,29,13,Chetnole,5.6,,Wessex Water,,Dorset,Yetminster,
BA22 9RP,Yes,50.880596,-2.651878,354236,109214,ST542092,1/1/1980 12:00:00 AM,,71,5,3,Yeovil Junction,5.6,,Wessex Water,,Dorset,Yetminster,
BA22 9RR,Yes,50.875632,-2.651880,354231,108662,ST542086,1/1/1980 12:00:00 AM,,67,23,9,Chetnole,5.6,,Wessex Water,,Dorset,Yetminster,
BA22 9RS,Yes,50.870710,-2.654114,354069,108116,ST540081,1/1/1980 12:00:00 AM,,70,5,3,Chetnole,5.7,,Wessex Water,,Dorset,Yetminster,
BA22 9RT,Yes,50.870144,-2.655483,353972,108054,ST539080,1/1/1980 12:00:00 AM,,69,27,14,Chetnole,5.8,,Wessex Water,,Dorset,Yetminster,
BA22 9RU,Yes,50.870444,-2.653442,354116,108086,ST541080,1/1/1980 12:00:00 AM,,68,39,18,Chetnole,5.7,,Wessex Water,,Dorset,Yetminster,
BA22 9RX,Yes,50.868474,-2.655005,354004,107868,ST540078,1/1/1980 12:00:00 AM,,69,13,5,Chetnole,5.8,,Wessex Water,,Dorset,Yetminster,
BA22 9RY,Yes,50.864791,-2.657610,353817,107460,ST538074,1/1/1980 12:00:00 AM,,74,21,10,Chetnole,5.9,,Wessex Water,,Dorset,Yetminster,
BA22 9RZ,Yes,50.868847,-2.655834,353946,107910,ST539079,1/1/1980 12:00:00 AM,,69,16,8,Chetnole,5.8,,Wessex Water,,Dorset,Yetminster,
BA22 9SA,Yes,50.870629,-2.657310,353844,108109,ST538081,1/1/1992 12:00:00 AM,,69,31,12,Chetnole,5.9,,Wessex Water,,Dorset,Yetminster,
BA22 9SB,Yes,50.871393,-2.654065,354073,108192,ST540081,8/1/1993 12:00:00 AM,,68,40,17,Chetnole,5.7,,Wessex Water,,Dorset,Yetminster,
BA22 9SD,Yes,50.870958,-2.654656,354031,108144,ST540081,12/1/1999 12:00:00 AM,,71,8,4,Chetnole,5.8,,Wessex Water,,Dorset,Yetminster,
BA22 9SE,Yes,50.868432,-2.656212,353919,107864,ST539078,1/1/1980 12:00:00 AM,,69,19,10,Chetnole,5.8,,Wessex Water,,Dorset,Yetminster,
BA22 9SF,Yes,50.869171,-2.658993,353724,107948,ST537079,1/1/1980 12:00:00 AM,,69,34,13,Chetnole,6.0,,Wessex Water,,Dorset,Yetminster,
BA22 9SG,Yes,50.873399,-2.660518,353621,108419,ST536084,1/1/1980 12:00:00 AM,,65,22,9,Chetnole,6.2,,Wessex Water,,Dorset,Yetminster,
BA22 9SH,Yes,50.871576,-2.659953,353659,108216,ST536082,1/1/1980 12:00:00 AM,,66,2,1,Chetnole,6.1,,,,Dorset,Yetminster,
BA22 9SJ,Yes,50.875327,-2.667723,353116,108638,ST531086,1/1/1980 12:00:00 AM,,67,8,3,Yeovil Junction,6.7,,Wessex Water,,Dorset,Yetminster,
BA22 9SL,Yes,50.870466,-2.652717,354167,108088,ST541080,1/1/1980 12:00:00 AM,,67,4,1,Chetnole,5.6,,,,Dorset,Yetminster,
BA22 9SN,Yes,50.868710,-2.653205,354131,107893,ST541078,1/1/1980 12:00:00 AM,,68,22,8,Chetnole,5.6,,Wessex Water,,Dorset,Yetminster,
BA22 9SQ,Yes,50.876161,-2.660188,353647,108726,ST536087,1/1/1980 12:00:00 AM,,62,12,3,Chetnole,6.2,,Wessex Water,,Dorset,Yetminster,
BA22 9SR,Yes,50.869025,-2.654614,354032,107929,ST540079,1/1/2003 12:00:00 AM,,69,28,10,Chetnole,5.7,,Wessex Water,,Dorset,Yetminster,
BA22 9SW,Yes,50.866157,-2.644755,354723,107604,ST547076,1/1/1980 12:00:00 AM,,105,11,7,Chetnole,5.0,,Wessex Water,,Dorset,Yetminster,
BA22 9SX,Yes,50.865692,-2.639505,355092,107549,ST550075,1/1/1980 12:00:00 AM,,135,3,2,Chetnole,4.7,,Wessex Water,,Dorset,Yetminster,
BA22 9SY,Yes,50.871106,-2.637675,355226,108150,ST552081,1/1/1980 12:00:00 AM,,118,15,4,Chetnole,4.6,,Wessex Water,,Dorset,Yetminster,
BA22 9SZ,Yes,50.878738,-2.633389,355535,108996,ST555089,1/1/1980 12:00:00 AM,,106,28,12,Chetnole,4.5,,Wessex Water,,Dorset,Yetminster,
BA22 9UY,Yes,50.917569,-2.612846,357016,113302,ST570133,1/1/1980 12:00:00 AM,,42,6,3,Yeovil Junction,0.8,,Wessex Water,,Dorset,Sherborne Rural,
BA22 9UZ,Yes,50.921477,-2.604930,357576,113732,ST575137,1/1/1980 12:00:00 AM,,34,34,11,Yeovil Junction,0.6,,Wessex Water,,Dorset,Sherborne Rural,
BA22 9WA,No,50.920518,-2.600835,357863,113623,ST578136,12/1/2001 12:00:00 AM,9/1/2002 12:00:00 AM,34,,,Yeovil Junction,0.9,,,,Dorset,Sherborne Rural,
BA22 9XT,No,50.920518,-2.600835,357863,113623,ST578136,9/1/2002 12:00:00 AM,4/1/2004 12:00:00 AM,34,,,Yeovil Junction,0.9,,,,Dorset,Sherborne Rural,
BA22 9YU,No,50.921477,-2.604930,357576,113732,ST575137,1/1/2005 12:00:00 AM,2/1/2005 12:00:00 AM,39,,,Yeovil Junction,0.6,,,,Dorset,Sherborne Rural,
BA22 9YY,No,50.914027,-2.598802,358000,112900,ST580129,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,47,,,Thornford,1.4,,,,Dorset,Sherborne Rural,
DT1 1AA,Yes,50.715280,-2.444281,368730,90722,SY687907,2/1/1990 12:00:00 AM,,79,,,Dorchester West,0.5,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AB,Yes,50.715026,-2.428075,369874,90687,SY698906,9/1/2004 12:00:00 AM,,58,16,7,Dorchester South,0.9,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester East,
DT1 1AD,Yes,50.711683,-2.436953,369245,90319,SY692903,9/1/1991 12:00:00 AM,,67,59,54,Dorchester South,0.3,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester East,
DT1 1AE,Yes,50.713284,-2.439374,369075,90498,SY690904,6/1/2002 12:00:00 AM,,70,9,8,Dorchester West,0.3,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AF,Yes,50.712961,-2.439130,369092,90462,SY690904,6/1/2002 12:00:00 AM,,68,16,14,Dorchester West,0.3,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AG,Yes,50.712483,-2.439454,369069,90409,SY690904,8/1/2005 12:00:00 AM,,69,52,39,Dorchester West,0.3,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AH,Yes,50.715802,-2.446282,368589,90781,SY685907,8/1/2008 12:00:00 AM,,78,99,54,Dorchester West,0.6,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AJ,No,50.714134,-2.435628,369340,90591,SY693905,9/1/2023 12:00:00 AM,12/1/2023 12:00:00 AM,84,,,Dorchester South,0.5,Dorchester (Dorset),,,Dorset,Dorchester West,
DT1 1AL,Yes,50.712465,-2.424990,370090,90401,SY700904,10/1/2006 12:00:00 AM,,56,9,5,Dorchester South,0.9,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester East,
DT1 1AN,Yes,50.711495,-2.426894,369955,90294,SY699902,4/1/1986 12:00:00 AM,,57,19,14,Dorchester South,0.8,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester East,
DT1 1AP,Yes,50.713317,-2.437604,369200,90501,SY692905,2/1/2008 12:00:00 AM,,68,17,10,Dorchester West,0.4,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AQ,Yes,50.712923,-2.439741,369049,90458,SY690904,11/1/2004 12:00:00 AM,,68,40,0,Dorchester West,0.3,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AR,No,50.714133,-2.433633,369481,90590,SY694905,4/1/1985 12:00:00 AM,12/1/1997 12:00:00 AM,62,,,Dorchester South,0.6,Dorchester (Dorset),,,Dorset,Dorchester West,
DT1 1AS,Yes,50.710595,-2.432241,369577,90196,SY695901,4/1/1985 12:00:00 AM,,70,40,32,Dorchester South,0.4,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester East,
DT1 1AT,Yes,50.714794,-2.429787,369753,90662,SY697906,4/1/1985 12:00:00 AM,,63,18,13,Dorchester South,0.8,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester East,
DT1 1AW,Yes,50.712525,-2.440344,369006,90414,SY690904,4/1/1986 12:00:00 AM,,69,24,19,Dorchester West,0.2,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AX,No,50.809376,-2.476824,366500,101200,ST664011,4/1/1985 12:00:00 AM,12/1/1994 12:00:00 AM,121,,,Maiden Newton,7.3,Cerne Abbas,,,Dorset,Chalk Valleys,
DT1 1AY,Yes,50.712836,-2.434174,369442,90446,SY694904,7/1/1983 12:00:00 AM,,67,73,65,Dorchester South,0.4,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1AZ,Yes,50.714229,-2.436692,369265,90602,SY692906,1/1/1980 12:00:00 AM,,69,,,Dorchester West,0.5,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1BA,Yes,50.715075,-2.436560,369275,90696,SY692906,1/1/1980 12:00:00 AM,,69,8,6,Dorchester West,0.6,Dorchester (Dorset),Wessex Water,,Dorset,Dorchester West,
DT1 1BB,No,50.715103,-2.436419,369285,90699,SY692906,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,69,,,Dorchester West,0.6,Dorchester (Dorset),,,Dorset,Dorchester West,
