Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
E13 0AA,Yes,51.529278,0.023300,540447,183092,TQ404830,1/1/1980 12:00:00 AM,,9,,,Plaistow,0.4,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AB,Yes,51.529855,0.024277,540513,183158,TQ405831,1/1/1980 12:00:00 AM,,8,81,61,Plaistow,0.5,Newham,Thames Water,,Newham,Plaistow North,
E13 0AD,Yes,51.531022,0.020725,540263,183281,TQ402832,1/1/1980 12:00:00 AM,,7,91,35,Plaistow,0.2,Newham,Thames Water,,Newham,Plaistow North,
E13 0AE,Yes,51.530395,0.019529,540182,183209,TQ401832,1/1/1980 12:00:00 AM,,7,41,14,Plaistow,0.2,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AF,Yes,51.533702,0.017570,540036,183573,TQ400835,2/1/2009 12:00:00 AM,,6,31,11,Plaistow,0.3,Newham,Thames Water,,Newham,West Ham,
E13 0AG,Yes,51.530238,0.020834,540273,183194,TQ402831,1/1/1980 12:00:00 AM,,8,91,26,Plaistow,0.2,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AH,Yes,51.530707,0.020235,540230,183245,TQ402832,1/1/1980 12:00:00 AM,,7,158,61,Plaistow,0.2,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AJ,Yes,51.529933,0.021830,540343,183162,TQ403831,1/1/1980 12:00:00 AM,,8,123,41,Plaistow,0.3,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AL,Yes,51.531353,0.018706,540122,183314,TQ401833,1/1/1980 12:00:00 AM,,5,,,Plaistow,0.1,Newham,Thames Water,,Newham,Plaistow North,
E13 0AN,Yes,51.525357,0.024856,540567,182659,TQ405826,1/1/1980 12:00:00 AM,,12,24,7,Plaistow,0.8,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AP,Yes,51.529174,0.025141,540575,183084,TQ405830,1/1/1980 12:00:00 AM,,8,72,27,Plaistow,0.6,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AQ,Yes,51.531312,0.019007,540143,183310,TQ401833,6/1/2002 12:00:00 AM,,5,55,33,Plaistow,0.1,Newham,Thames Water,,Newham,Plaistow North,
E13 0AR,Yes,51.528745,0.024992,540566,183036,TQ405830,1/1/1980 12:00:00 AM,,7,101,28,Plaistow,0.6,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AS,Yes,51.527915,0.026685,540686,182947,TQ406829,1/1/1980 12:00:00 AM,,8,131,47,Plaistow,0.7,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AT,Yes,51.530961,0.018615,540117,183270,TQ401832,1/1/2004 12:00:00 AM,,7,,,Plaistow,0.1,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AU,No,51.529278,0.023300,540447,183092,TQ404830,3/1/2011 12:00:00 AM,12/1/2018 12:00:00 AM,9,,,Plaistow,0.4,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AW,Yes,51.525383,0.025434,540607,182663,TQ406826,1/1/1980 12:00:00 AM,,11,138,50,Plaistow,0.8,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AX,Yes,51.528321,0.025089,540574,182989,TQ405829,1/1/1980 12:00:00 AM,,7,142,49,Plaistow,0.6,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AY,Yes,51.525974,0.027133,540723,182732,TQ407827,1/1/1980 12:00:00 AM,,6,180,47,Plaistow,0.9,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0AZ,Yes,51.525747,0.027281,540734,182707,TQ407827,1/1/1980 12:00:00 AM,,6,132,40,Plaistow,0.9,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0BA,Yes,51.531323,0.019959,540209,183313,TQ402833,6/1/2002 12:00:00 AM,,6,20,8,Plaistow,0.2,Newham,Thames Water,,Newham,Plaistow North,
E13 0BB,No,51.526566,0.028269,540800,182800,TQ407827,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,7,,,Plaistow,0.9,Newham,,,Newham,Plaistow West & Canning Town East,
E13 0BD,Yes,51.527202,0.026365,540666,182867,TQ406828,12/1/1995 12:00:00 AM,,7,109,34,Plaistow,0.7,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0BE,Yes,51.528025,0.025551,540607,182957,TQ406829,12/1/1995 12:00:00 AM,,7,65,21,Plaistow,0.6,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0BF,Yes,51.528115,0.027631,540751,182971,TQ407829,5/1/2011 12:00:00 AM,,8,,,Plaistow,0.8,Newham,Thames Water,,Newham,Plaistow North,
E13 0BG,Yes,51.527748,0.027514,540744,182930,TQ407829,1/1/1980 12:00:00 AM,,8,153,47,Plaistow,0.8,Newham,Thames Water,,Newham,Plaistow North,
E13 0BH,Yes,51.529704,0.028322,540794,183149,TQ407831,1/1/1980 12:00:00 AM,,8,66,27,Plaistow,0.7,Newham,Thames Water,,Newham,Plaistow North,
E13 0BJ,Yes,51.529866,0.026729,540683,183164,TQ406831,1/1/1980 12:00:00 AM,,8,194,53,Plaistow,0.6,Newham,Thames Water,,Newham,Plaistow North,
E13 0BL,No,51.531672,0.022657,540395,183357,TQ403833,12/1/1996 12:00:00 AM,6/1/2000 12:00:00 AM,9,,,Plaistow,0.3,Newham,,,Newham,Plaistow North,
E13 0BN,Yes,51.527785,0.027977,540776,182935,TQ407829,5/1/2010 12:00:00 AM,,8,,,Plaistow,0.8,Newham,Thames Water,,Newham,Plaistow North,
E13 0BP,Yes,51.528200,0.026942,540703,182979,TQ407829,11/1/2017 12:00:00 AM,,8,,,Plaistow,0.7,Newham,,,Newham,Plaistow North,
E13 0BQ,Yes,51.529204,0.027074,540709,183091,TQ407830,1/1/1980 12:00:00 AM,,7,191,64,Plaistow,0.7,Newham,Thames Water,,Newham,Plaistow North,
E13 0BS,Yes,51.529204,0.021841,540346,183081,TQ403830,1/1/1980 12:00:00 AM,,8,96,30,Plaistow,0.4,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0BT,Yes,51.529868,0.021409,540314,183154,TQ403831,1/1/1980 12:00:00 AM,,8,59,22,Plaistow,0.3,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0BU,Yes,51.528899,0.022303,540379,183048,TQ403830,1/1/1980 12:00:00 AM,,8,82,28,Plaistow,0.4,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0BW,Yes,51.530158,0.023916,540487,183191,TQ404831,5/1/2009 12:00:00 AM,,8,154,57,Plaistow,0.4,Newham,Thames Water,,Newham,Plaistow North,
E13 0BX,Yes,51.529201,0.020428,540248,183078,TQ402830,1/1/1980 12:00:00 AM,,6,100,29,Plaistow,0.3,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0BY,Yes,51.528960,0.020850,540278,183052,TQ402830,1/1/1980 12:00:00 AM,,6,116,34,Plaistow,0.3,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0BZ,Yes,51.528351,0.021269,540309,182985,TQ403829,1/1/1980 12:00:00 AM,,7,210,65,Plaistow,0.4,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0DA,Yes,51.528455,0.020018,540222,182994,TQ402829,1/1/1980 12:00:00 AM,,5,30,13,Plaistow,0.4,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0DB,No,51.527639,0.018225,540100,182900,TQ401829,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,5,,,Plaistow,0.4,Newham,,,Newham,Plaistow West & Canning Town East,
E13 0DD,Yes,51.528425,0.019572,540191,182990,TQ401829,1/1/1980 12:00:00 AM,,5,73,23,Plaistow,0.3,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0DE,Yes,51.529075,0.018879,540141,183061,TQ401830,1/1/1980 12:00:00 AM,,5,54,14,Plaistow,0.3,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0DF,Yes,51.529332,0.019107,540156,183090,TQ401830,1/1/1980 12:00:00 AM,,5,36,9,Plaistow,0.2,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0DG,Yes,51.528220,0.018914,540146,182966,TQ401829,1/1/1980 12:00:00 AM,,5,94,34,Plaistow,0.3,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0DH,Yes,51.529689,0.018777,540132,183129,TQ401831,1/1/1980 12:00:00 AM,,6,99,29,Plaistow,0.2,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0DJ,Yes,51.530565,0.018542,540113,183226,TQ401832,1/1/1980 12:00:00 AM,,6,95,40,Plaistow,0.1,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
E13 0DL,Yes,51.530364,0.017149,540017,183201,TQ400832,12/1/1994 12:00:00 AM,,5,92,24,Plaistow,0.1,Newham,Thames Water,,Newham,Plaistow West & Canning Town East,
