Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BT42 2YA,No,54.913836,-7.363981,56398,570863,NV563708,11/1/2002 12:00:00 AM,9/1/2005 12:00:00 AM,42,,,,,,Northern Ireland Water,,Derry City and Strabane,Dunnamanagh,
BT47 2GD,Yes,54.941044,-7.386535,55187,573998,NV551739,1/1/2007 12:00:00 AM,,12,126,44,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2PX,Yes,54.954014,-7.331864,58795,575170,NV587751,12/1/1984 12:00:00 AM,,114,35,9,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2QJ,Yes,54.958648,-7.334784,58647,575700,NV586756,12/1/1984 12:00:00 AM,,132,,,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2QT,Yes,54.952433,-7.353398,57404,575100,NV574751,12/1/1984 12:00:00 AM,,32,29,7,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RH,Yes,54.936565,-7.366196,56450,573400,NV564733,12/1/1984 12:00:00 AM,,64,32,9,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RN,Yes,54.952788,-7.367907,56479,575211,NV564752,12/1/1984 12:00:00 AM,,16,25,11,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RP,Yes,54.939724,-7.379549,55623,573817,NV556738,12/1/1984 12:00:00 AM,,26,,,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RR,Yes,54.941483,-7.382705,55436,574028,NV554740,12/1/1984 12:00:00 AM,,16,26,9,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RS,Yes,54.938975,-7.385880,55211,573765,NV552737,12/1/1984 12:00:00 AM,,17,9,5,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RT,Yes,54.940285,-7.385704,55234,573909,NV552739,12/1/1984 12:00:00 AM,,15,29,9,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RU,Yes,54.940632,-7.388585,55053,573962,NV550739,12/1/1984 12:00:00 AM,,10,58,22,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RW,Yes,54.942872,-7.366409,56490,574102,NV564741,12/1/1984 12:00:00 AM,,28,,,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RX,Yes,54.939895,-7.384914,55281,573862,NV552738,12/1/1984 12:00:00 AM,,17,,,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RY,Yes,54.937279,-7.377528,55731,573535,NV557735,12/1/1984 12:00:00 AM,,40,19,7,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2RZ,Yes,54.919071,-7.374019,55800,571495,NV557714,12/1/1984 12:00:00 AM,,118,20,6,,,,Northern Ireland Water,,Derry City and Strabane,Dunnamanagh,
BT47 2SA,No,54.939121,-7.382866,55405,573766,NV554737,1/1/2004 12:00:00 AM,1/1/2004 12:00:00 AM,21,,,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2SB,Yes,54.938975,-7.382463,55430,573748,NV554737,12/1/1984 12:00:00 AM,,22,139,69,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2SD,Yes,54.938570,-7.383920,55333,573710,NV553737,12/1/1984 12:00:00 AM,,21,26,10,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2SE,Yes,54.926622,-7.361221,56683,572271,NV566722,12/1/1984 12:00:00 AM,,119,41,15,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2SF,Yes,54.927841,-7.353855,57165,572370,NV571723,12/1/1984 12:00:00 AM,,55,20,9,,,,Northern Ireland Water,,Derry City and Strabane,Slievekirk,
BT47 2SG,Yes,54.913818,-7.363950,56399,570861,NV563708,12/1/1984 12:00:00 AM,,42,22,5,,,,Northern Ireland Water,,Derry City and Strabane,Dunnamanagh,
BT47 2SH,Yes,54.910852,-7.374053,55727,570581,NV557705,12/1/1984 12:00:00 AM,,76,47,21,,,,Northern Ireland Water,,Derry City and Strabane,Dunnamanagh,
