Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DY12 2YH,Yes,52.328822,-2.323907,378023,270131,SO780701,1/1/1980 12:00:00 AM,,129,4,2,Hartlebury,7.0,,Severn Trent,,Malvern Hills,Baldwin,Bewdley
DY13 0QZ,Yes,52.317989,-2.290750,380278,268916,SO802689,1/1/1993 12:00:00 AM,,31,24,11,Hartlebury,5.1,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RD,Yes,52.320476,-2.297570,379814,269195,SO798691,1/1/1980 12:00:00 AM,,43,5,3,Hartlebury,5.4,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RE,Yes,52.317018,-2.290846,380271,268808,SO802688,1/1/1980 12:00:00 AM,,32,32,14,Hartlebury,5.1,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RF,Yes,52.316129,-2.292435,380162,268710,SO801687,1/1/1980 12:00:00 AM,,32,48,25,Hartlebury,5.3,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RG,Yes,52.312994,-2.294908,379992,268362,SO799683,1/1/1980 12:00:00 AM,,31,5,1,Hartlebury,5.6,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RH,Yes,52.311916,-2.301473,379544,268243,SO795682,1/1/1980 12:00:00 AM,,48,40,15,Hartlebury,6.0,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RJ,Yes,52.305569,-2.315245,378602,267541,SO786675,1/1/1980 12:00:00 AM,,56,23,9,Hartlebury,7.2,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RL,Yes,52.307613,-2.310625,378918,267767,SO789677,1/1/1980 12:00:00 AM,,62,27,12,Hartlebury,6.8,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RN,Yes,52.306974,-2.302220,379491,267694,SO794676,1/1/1980 12:00:00 AM,,55,5,3,Hartlebury,6.3,,Severn Trent,,Malvern Hills,Baldwin,Hallow
DY13 0RP,Yes,52.318608,-2.291209,380247,268985,SO802689,4/1/2004 12:00:00 AM,,30,14,5,Hartlebury,5.1,,Severn Trent,,Malvern Hills,Baldwin,Hallow
