Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
WN1 1AA,Yes,53.546967,-2.635089,358016,405780,SD580057,2/1/1990 12:00:00 AM,,39,,,Wigan Wallgate,0.3,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AB,No,53.546538,-2.634569,358050,405732,SD580057,1/1/1993 12:00:00 AM,1/1/2008 12:00:00 AM,42,,,Wigan Wallgate,0.2,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AD,No,53.545425,-2.632651,358176,405607,SD581056,9/1/1991 12:00:00 AM,4/1/2020 12:00:00 AM,45,,,Wigan Wallgate,0.1,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AE,Yes,53.549628,-2.628246,358472,406072,SD584060,7/1/1990 12:00:00 AM,,42,,,Wigan Wallgate,0.6,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AF,Yes,53.548694,-2.629213,358407,405969,SD584059,11/1/2022 12:00:00 AM,,39,,,Wigan Wallgate,0.5,Wigan,,,Wigan,Wigan Central,
WN1 1AG,No,53.548068,-2.630819,358300,405900,SD583058,1/1/1991 12:00:00 AM,12/1/1991 12:00:00 AM,39,,,Wigan Wallgate,0.4,Wigan,,,Wigan,Wigan Central,
WN1 1AH,No,53.548670,-2.629168,358410,405966,SD584059,9/1/1991 12:00:00 AM,12/1/2022 12:00:00 AM,38,,,Wigan Wallgate,0.5,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AJ,No,53.547806,-2.632173,358210,405872,SD582058,9/1/1991 12:00:00 AM,8/1/2022 12:00:00 AM,41,,,Wigan Wallgate,0.3,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AL,No,53.547469,-2.631292,358268,405834,SD582058,9/1/1991 12:00:00 AM,5/1/2023 12:00:00 AM,40,,,Wigan Wallgate,0.3,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AN,No,53.547321,-2.632785,358169,405818,SD581058,9/1/1991 12:00:00 AM,8/1/2022 12:00:00 AM,42,,,Wigan Wallgate,0.3,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AP,No,53.548364,-2.632695,358176,405934,SD581059,10/1/2008 12:00:00 AM,12/1/2008 12:00:00 AM,41,,,Wigan Wallgate,0.4,Wigan,,,Wigan,Wigan Central,
WN1 1AR,No,53.548166,-2.632103,358215,405912,SD582059,9/1/1991 12:00:00 AM,8/1/2022 12:00:00 AM,41,,,Wigan Wallgate,0.4,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AS,No,53.547929,-2.632808,358168,405886,SD581058,9/1/1991 12:00:00 AM,8/1/2022 12:00:00 AM,41,2,1,Wigan Wallgate,0.3,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AT,Yes,53.547336,-2.631034,358285,405819,SD582058,9/1/1991 12:00:00 AM,,41,,,Wigan Wallgate,0.3,Wigan,United Utilities,,Wigan,Wigan Central,
WN1 1AU,No,53.547399,-2.632770,358170,405827,SD581058,4/1/2020 12:00:00 AM,8/1/2022 12:00:00 AM,42,,,Wigan Wallgate,0.3,Wigan,United Utilities,,Wigan,Wigan Central,
