Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
KT3 3LL,No,51.398053,-0.256312,521400,168000,TQ214679,3/1/1988 12:00:00 AM,1/1/1995 12:00:00 AM,20,,,New Malden,0.6,Kingston upon Thames,,,Kingston upon Thames,New Malden Village,
KT3 3LR,Yes,51.398292,-0.256059,521417,168027,TQ214680,1/1/1980 12:00:00 AM,,20,,,New Malden,0.6,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 3LS,Yes,51.398671,-0.257956,521284,168066,TQ212680,1/1/1980 12:00:00 AM,,20,48,19,New Malden,0.6,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 3LT,Yes,51.398176,-0.256710,521372,168013,TQ213680,1/1/1980 12:00:00 AM,,20,16,8,New Malden,0.6,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 3LU,Yes,51.398942,-0.259211,521196,168094,TQ211680,1/1/1980 12:00:00 AM,,22,35,20,New Malden,0.6,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 3LW,No,51.399056,-0.259638,521166,168106,TQ211681,1/1/1993 12:00:00 AM,6/1/1997 12:00:00 AM,22,,,New Malden,0.6,Kingston upon Thames,,,Kingston upon Thames,New Malden Village,
KT3 3LX,Yes,51.399141,-0.259937,521145,168115,TQ211681,1/1/1980 12:00:00 AM,,22,10,4,New Malden,0.6,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 4BF,Yes,51.399524,-0.245206,522169,168182,TQ221681,1/1/2018 12:00:00 AM,,14,,,Motspur Park,0.6,Merton,,,Merton,West Barnes,
KT3 4FB,Yes,51.400850,-0.238269,522648,168341,TQ226683,12/1/2018 12:00:00 AM,,15,,,Motspur Park,0.6,Merton,,,Merton,West Barnes,
KT3 4FE,Yes,51.398740,-0.251749,521716,168084,TQ217680,12/1/2021 12:00:00 AM,,16,,,New Malden,0.6,Kingston upon Thames,,,Kingston upon Thames,New Malden Village,
KT3 4FF,Yes,51.398571,-0.254846,521501,168060,TQ215680,4/1/2023 12:00:00 AM,,17,,,New Malden,0.6,Kingston upon Thames,,,Kingston upon Thames,New Malden Village,
KT3 4JB,No,51.398889,-0.248403,521948,168106,TQ219681,6/1/1981 12:00:00 AM,6/1/1999 12:00:00 AM,19,,,Motspur Park,0.7,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 4LQ,No,51.400380,-0.244680,522203,168278,TQ222682,6/1/1981 12:00:00 AM,12/1/2008 12:00:00 AM,15,,,Motspur Park,0.7,Merton,,,Merton,West Barnes,
KT3 4LS,No,51.398845,-0.249094,521900,168100,TQ219680,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,19,,,New Malden,0.7,Kingston upon Thames,,,Kingston upon Thames,New Malden Village,
KT3 4LU,Yes,51.399464,-0.246014,522113,168174,TQ221681,1/1/1980 12:00:00 AM,,17,42,15,Motspur Park,0.6,Merton,Thames Water,,Merton,West Barnes,
KT3 4LX,No,51.400380,-0.244680,522203,168278,TQ222682,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,15,,,Motspur Park,0.7,Merton,,,Merton,West Barnes,
KT3 4LY,Yes,51.400253,-0.245854,522122,168262,TQ221682,1/1/1980 12:00:00 AM,,16,108,35,Motspur Park,0.7,Merton,Thames Water,,Merton,West Barnes,
KT3 4NA,Yes,51.399834,-0.242458,522359,168221,TQ223682,1/1/1980 12:00:00 AM,,16,,,Motspur Park,0.5,Merton,Thames Water,,Merton,West Barnes,
KT3 4NB,Yes,51.400095,-0.241346,522436,168252,TQ224682,1/1/1980 12:00:00 AM,,17,,,Motspur Park,0.5,Merton,Thames Water,,Merton,West Barnes,
KT3 4ND,Yes,51.400364,-0.240655,522483,168283,TQ224682,1/1/1980 12:00:00 AM,,17,,,Motspur Park,0.6,Merton,Thames Water,,Merton,West Barnes,
KT3 4NE,Yes,51.400545,-0.238928,522603,168306,TQ226683,1/1/1980 12:00:00 AM,,16,9,5,Motspur Park,0.6,Merton,Thames Water,,Merton,West Barnes,
KT3 4NF,No,51.400633,-0.239379,522571,168315,TQ225683,1/1/1980 12:00:00 AM,8/1/2006 12:00:00 AM,16,,,Motspur Park,0.6,Merton,,,Merton,West Barnes,
KT3 4NG,No,51.400492,-0.238968,522600,168300,TQ225683,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,17,,,Motspur Park,0.6,Merton,,,Merton,West Barnes,
KT3 4NH,Yes,51.400953,-0.237403,522708,168354,TQ227683,11/1/2020 12:00:00 AM,,17,,,Motspur Park,0.6,Merton,Thames Water,,Merton,West Barnes,
KT3 4NJ,No,51.400492,-0.238968,522600,168300,TQ225683,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,17,,,Motspur Park,0.6,Merton,,,Merton,West Barnes,
KT3 4NL,Yes,51.400076,-0.238845,522610,168254,TQ226682,1/1/1980 12:00:00 AM,,17,22,8,Motspur Park,0.5,Merton,Thames Water,,Merton,West Barnes,
KT3 4NN,Yes,51.399641,-0.240415,522502,168203,TQ225682,1/1/1980 12:00:00 AM,,17,13,0,Motspur Park,0.5,Merton,Thames Water,,Merton,West Barnes,
KT3 4NP,Yes,51.399448,-0.241926,522397,168179,TQ223681,1/1/1980 12:00:00 AM,,17,,,Motspur Park,0.5,Merton,Thames Water,,Merton,West Barnes,
KT3 4NQ,No,51.399636,-0.241876,522400,168200,TQ223681,7/1/1986 12:00:00 AM,5/1/1994 12:00:00 AM,17,,,Motspur Park,0.5,Merton,,,Merton,West Barnes,
KT3 4NR,Yes,51.398905,-0.248316,521954,168108,TQ219681,1/1/1980 12:00:00 AM,,19,,,Motspur Park,0.7,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 4NS,Yes,51.398910,-0.248623,521933,168108,TQ219681,1/1/1980 12:00:00 AM,,19,17,7,New Malden,0.7,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 4NT,Yes,51.398896,-0.249515,521871,168105,TQ218681,1/1/1980 12:00:00 AM,,19,10,8,New Malden,0.7,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 4NU,Yes,51.398685,-0.251622,521725,168078,TQ217680,1/1/1980 12:00:00 AM,,19,34,15,New Malden,0.6,Kingston upon Thames,Thames Water,,Kingston upon Thames,New Malden Village,
KT3 4NW,Yes,51.399585,-0.240862,522471,168196,TQ224681,1/1/1980 12:00:00 AM,,17,15,6,Motspur Park,0.5,Merton,Thames Water,,Merton,West Barnes,
