Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GU25 4AA,Yes,51.401858,-0.563231,500041,167960,TQ000679,1/1/1980 12:00:00 AM,,31,9,8,Virginia Water,0.1,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AB,Yes,51.401963,-0.563664,500011,167971,TQ000679,1/1/1980 12:00:00 AM,,30,17,7,Virginia Water,0.1,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AD,Yes,51.401865,-0.563763,500004,167960,TQ000679,1/1/1980 12:00:00 AM,,30,,,Virginia Water,0.1,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AE,Yes,51.402336,-0.564069,499982,168012,SU999680,1/1/1980 12:00:00 AM,,32,20,7,Virginia Water,0.1,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AF,Yes,51.402833,-0.564959,499919,168066,SU999680,1/1/1980 12:00:00 AM,,32,40,25,Virginia Water,0.2,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AG,Yes,51.403855,-0.564726,499933,168180,SU999681,1/1/1980 12:00:00 AM,,35,43,23,Virginia Water,0.3,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AH,Yes,51.402930,-0.562627,500081,168080,TQ000680,1/1/1980 12:00:00 AM,,34,46,27,Virginia Water,0.1,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AJ,Yes,51.405141,-0.564024,499979,168324,SU999683,1/1/1980 12:00:00 AM,,43,62,23,Virginia Water,0.4,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AL,Yes,51.405576,-0.562817,500062,168374,TQ000683,1/1/1980 12:00:00 AM,,44,41,19,Virginia Water,0.4,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
GU25 4AN,Yes,51.404832,-0.562294,500100,168292,TQ001682,1/1/1980 12:00:00 AM,,39,47,26,Virginia Water,0.3,Virginia Water,Affinity Water,Thames Water,Runnymede,Virginia Water,"Foxhills, Thorpe and Virginia Water"
