Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CH29 9AE,No,53.390338,-3.179391,321663,388815,SJ216888,2/1/2005 12:00:00 AM,2/1/2007 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AF,No,53.390338,-3.179391,321663,388815,SJ216888,3/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AG,No,53.390338,-3.179391,321663,388815,SJ216888,5/1/2012 12:00:00 AM,4/1/2013 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AH,No,53.390338,-3.179391,321663,388815,SJ216888,5/1/2007 12:00:00 AM,5/1/2008 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AJ,No,53.390338,-3.179391,321663,388815,SJ216888,5/1/2005 12:00:00 AM,6/1/2015 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AL,No,53.390338,-3.179391,321663,388815,SJ216888,9/1/2005 12:00:00 AM,10/1/2008 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AN,No,53.390338,-3.179391,321663,388815,SJ216888,11/1/2005 12:00:00 AM,1/1/2007 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AP,No,53.390338,-3.179391,321663,388815,SJ216888,12/1/2005 12:00:00 AM,3/1/2006 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AQ,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AR,No,53.390338,-3.179391,321663,388815,SJ216888,12/1/2005 12:00:00 AM,1/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AS,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2006 12:00:00 AM,1/1/2007 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AT,No,53.390338,-3.179391,321663,388815,SJ216888,2/1/2006 12:00:00 AM,3/1/2007 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AU,No,53.390338,-3.179391,321663,388815,SJ216888,4/1/2006 12:00:00 AM,5/1/2014 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AW,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2006 12:00:00 AM,6/1/2008 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AX,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2006 12:00:00 AM,8/1/2008 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AY,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2013 12:00:00 AM,12/1/2013 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9AZ,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2007 12:00:00 AM,8/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BA,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2007 12:00:00 AM,1/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BB,No,53.390338,-3.179391,321663,388815,SJ216888,2/1/2007 12:00:00 AM,3/1/2010 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BD,No,53.390158,-3.179431,321660,388795,SJ216887,2/1/2007 12:00:00 AM,3/1/2019 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BE,No,53.390158,-3.179431,321660,388795,SJ216887,4/1/2007 12:00:00 AM,12/1/2018 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BF,No,53.390338,-3.179391,321663,388815,SJ216888,4/1/2007 12:00:00 AM,4/1/2014 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BG,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BH,No,53.390158,-3.179431,321660,388795,SJ216887,7/1/2007 12:00:00 AM,8/1/2018 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BJ,Yes,53.390158,-3.179431,321660,388795,SJ216887,10/1/2007 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BL,No,53.390338,-3.179391,321663,388815,SJ216888,10/1/2007 12:00:00 AM,12/1/2008 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BN,No,53.390338,-3.179391,321663,388815,SJ216888,3/1/2007 12:00:00 AM,6/1/2008 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BP,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2008 12:00:00 AM,12/1/2013 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BQ,No,53.390338,-3.179391,321663,388815,SJ216888,2/1/2008 12:00:00 AM,3/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BS,No,53.390338,-3.179391,321663,388815,SJ216888,4/1/2008 12:00:00 AM,5/1/2013 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BT,No,53.390338,-3.179391,321663,388815,SJ216888,4/1/2008 12:00:00 AM,5/1/2011 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BU,No,53.390338,-3.179391,321663,388815,SJ216888,5/1/2008 12:00:00 AM,6/1/2012 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BW,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2008 12:00:00 AM,8/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BX,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2008 12:00:00 AM,6/1/2011 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BY,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2008 12:00:00 AM,10/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9BZ,No,53.390338,-3.179391,321663,388815,SJ216888,8/1/2008 12:00:00 AM,8/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DA,No,53.390338,-3.179391,321663,388815,SJ216888,9/1/2008 12:00:00 AM,10/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DB,No,53.390338,-3.179391,321663,388815,SJ216888,10/1/2008 12:00:00 AM,10/1/2010 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DD,No,53.390338,-3.179391,321663,388815,SJ216888,11/1/2008 12:00:00 AM,12/1/2015 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DE,No,53.390338,-3.179391,321663,388815,SJ216888,12/1/2011 12:00:00 AM,1/1/2013 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DF,No,53.390338,-3.179391,321663,388815,SJ216888,5/1/2009 12:00:00 AM,7/1/2010 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DG,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2009 12:00:00 AM,8/1/2010 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DH,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2009 12:00:00 AM,10/1/2009 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DJ,No,53.390338,-3.179391,321663,388815,SJ216888,8/1/2009 12:00:00 AM,9/1/2010 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DL,No,53.390338,-3.179391,321663,388815,SJ216888,10/1/2009 12:00:00 AM,12/1/2010 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DN,Yes,53.390158,-3.179431,321660,388795,SJ216887,12/1/2009 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DP,No,53.390338,-3.179391,321663,388815,SJ216888,12/1/2009 12:00:00 AM,8/1/2010 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DQ,No,53.390175,-3.179430,321660,388797,SJ216887,4/1/2019 12:00:00 AM,2/1/2020 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DR,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2010 12:00:00 AM,1/1/2014 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DS,No,53.390158,-3.179431,321660,388795,SJ216887,3/1/2010 12:00:00 AM,12/1/2018 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DT,No,53.390338,-3.179391,321663,388815,SJ216888,10/1/2010 12:00:00 AM,5/1/2011 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DU,No,53.390338,-3.179391,321663,388815,SJ216888,11/1/2010 12:00:00 AM,6/1/2011 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DW,No,53.390158,-3.179431,321660,388795,SJ216887,1/1/2011 12:00:00 AM,2/1/2022 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DX,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2011 12:00:00 AM,2/1/2014 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DY,Yes,53.390158,-3.179431,321660,388795,SJ216887,5/1/2012 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9DZ,No,53.390338,-3.179391,321663,388815,SJ216888,3/1/2011 12:00:00 AM,4/1/2012 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EA,No,53.390338,-3.179391,321663,388815,SJ216888,2/1/2012 12:00:00 AM,2/1/2014 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9ED,No,53.390338,-3.179391,321663,388815,SJ216888,3/1/2012 12:00:00 AM,4/1/2013 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EE,No,53.390338,-3.179391,321663,388815,SJ216888,5/1/2012 12:00:00 AM,7/1/2012 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EF,Yes,53.390158,-3.179431,321660,388795,SJ216887,6/1/2012 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EG,No,53.390158,-3.179431,321660,388795,SJ216887,6/1/2012 12:00:00 AM,7/1/2023 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EH,No,53.390338,-3.179391,321663,388815,SJ216888,8/1/2012 12:00:00 AM,3/1/2015 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EJ,No,53.390338,-3.179391,321663,388815,SJ216888,11/1/2012 12:00:00 AM,7/1/2013 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EL,No,53.390338,-3.179391,321663,388815,SJ216888,12/1/2012 12:00:00 AM,11/1/2013 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EN,No,53.390338,-3.179391,321663,388815,SJ216888,12/1/2012 12:00:00 AM,1/1/2014 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EP,No,53.390338,-3.179391,321663,388815,SJ216888,1/1/2013 12:00:00 AM,8/1/2014 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EQ,No,53.390158,-3.179431,321660,388795,SJ216887,3/1/2013 12:00:00 AM,12/1/2018 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9ER,No,53.390158,-3.179431,321660,388795,SJ216887,4/1/2013 12:00:00 AM,5/1/2017 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9ES,No,53.390338,-3.179391,321663,388815,SJ216888,3/1/2014 12:00:00 AM,4/1/2015 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9ET,Yes,53.390158,-3.179431,321660,388795,SJ216887,4/1/2014 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EU,No,53.390158,-3.179431,321660,388795,SJ216887,5/1/2014 12:00:00 AM,6/1/2019 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EW,No,53.390338,-3.179391,321663,388815,SJ216888,7/1/2014 12:00:00 AM,7/1/2015 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EX,No,53.390158,-3.179431,321660,388795,SJ216887,12/1/2014 12:00:00 AM,2/1/2016 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EY,No,53.390158,-3.179431,321660,388795,SJ216887,3/1/2015 12:00:00 AM,4/1/2020 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9EZ,Yes,53.390158,-3.179431,321660,388795,SJ216887,9/1/2015 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FA,No,53.390158,-3.179431,321660,388795,SJ216887,6/1/2015 12:00:00 AM,7/1/2022 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FB,No,53.390158,-3.179431,321660,388795,SJ216887,8/1/2015 12:00:00 AM,3/1/2016 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FD,No,53.390158,-3.179431,321660,388795,SJ216887,9/1/2015 12:00:00 AM,4/1/2016 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FE,No,53.390158,-3.179431,321660,388795,SJ216887,11/1/2015 12:00:00 AM,1/1/2017 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FF,No,53.390158,-3.179431,321660,388795,SJ216887,4/1/2016 12:00:00 AM,5/1/2017 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FG,Yes,53.390175,-3.179430,321660,388797,SJ216887,10/1/2016 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FH,No,53.390175,-3.179430,321660,388797,SJ216887,10/1/2016 12:00:00 AM,11/1/2022 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FJ,No,53.390175,-3.179430,321660,388797,SJ216887,11/1/2016 12:00:00 AM,8/1/2017 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FL,No,53.390175,-3.179430,321660,388797,SJ216887,2/1/2017 12:00:00 AM,3/1/2018 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FN,No,53.390175,-3.179430,321660,388797,SJ216887,4/1/2017 12:00:00 AM,5/1/2018 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FP,No,53.390175,-3.179430,321660,388797,SJ216887,7/1/2017 12:00:00 AM,1/1/2018 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FQ,No,53.390175,-3.179430,321660,388797,SJ216887,8/1/2017 12:00:00 AM,3/1/2018 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FR,Yes,53.390175,-3.179430,321660,388797,SJ216887,1/1/2018 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FS,Yes,53.390175,-3.179430,321660,388797,SJ216887,4/1/2018 12:00:00 AM,,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FT,No,53.390175,-3.179430,321660,388797,SJ216887,6/1/2018 12:00:00 AM,1/1/2019 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FU,No,53.390175,-3.179430,321660,388797,SJ216887,6/1/2018 12:00:00 AM,7/1/2019 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
CH29 9FW,No,53.390175,-3.179430,321660,388797,SJ216887,9/1/2018 12:00:00 AM,4/1/2019 12:00:00 AM,11,,,Hoylake,0.0,Hoylake,,,Wirral,Hoylake and Meols,
