Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CM3 2AA,Yes,51.787759,0.586399,578484,213064,TL784130,1/1/1980 12:00:00 AM,,35,12,5,Hatfield Peverel,1.0,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Southern
CM3 2AB,Yes,51.788474,0.587380,578549,213146,TL785131,1/1/1980 12:00:00 AM,,37,13,4,Hatfield Peverel,1.0,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Southern
CM3 2AD,Yes,51.790589,0.593838,578986,213397,TL789133,1/1/1980 12:00:00 AM,,34,9,2,Hatfield Peverel,1.2,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Southern
CM3 2AE,Yes,51.790129,0.594725,579049,213348,TL790133,1/1/1980 12:00:00 AM,,40,7,2,Hatfield Peverel,1.2,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Southern
CM3 2AF,Yes,51.791663,0.583879,578295,213492,TL782134,1/1/1980 12:00:00 AM,,37,3,2,Hatfield Peverel,1.4,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AG,Yes,51.792692,0.584953,578365,213609,TL783136,6/1/2001 12:00:00 AM,,42,,,Hatfield Peverel,1.5,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Southern
CM3 2AH,No,51.798690,0.585386,578371,214277,TL783142,1/1/1980 12:00:00 AM,7/1/2011 12:00:00 AM,45,7,2,Hatfield Peverel,2.1,,,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AJ,Yes,51.799224,0.586850,578470,214340,TL784143,1/1/1980 12:00:00 AM,,48,14,4,Hatfield Peverel,2.2,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AL,Yes,51.802195,0.587121,578477,214671,TL784146,1/1/1980 12:00:00 AM,,49,15,5,Hatfield Peverel,2.5,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AN,Yes,51.804975,0.575997,577699,214953,TL776149,1/1/1980 12:00:00 AM,,49,5,2,Hatfield Peverel,3.0,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AP,Yes,51.812095,0.553044,576089,215689,TL760156,1/1/1980 12:00:00 AM,,44,,,White Notley,4.2,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AQ,Yes,51.793736,0.583693,578274,213722,TL782137,1/1/1980 12:00:00 AM,,41,5,2,Hatfield Peverel,1.6,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Southern
CM3 2AR,Yes,51.812715,0.553079,576089,215758,TL760157,1/1/1980 12:00:00 AM,,46,10,5,White Notley,4.1,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AS,Yes,51.815199,0.550521,575903,216028,TL759160,1/1/1980 12:00:00 AM,,54,2,1,White Notley,4.1,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AT,Yes,51.820510,0.561835,576662,216646,TL766166,1/1/1980 12:00:00 AM,,43,9,4,White Notley,3.1,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AU,Yes,51.821946,0.565269,576893,216814,TL768168,1/1/1980 12:00:00 AM,,53,17,7,White Notley,2.8,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AW,Yes,51.807471,0.563025,576795,215199,TL767151,1/1/1980 12:00:00 AM,,35,12,5,Hatfield Peverel,3.7,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AX,Yes,51.814486,0.547303,575684,215941,TL756159,1/1/1980 12:00:00 AM,,35,3,2,White Notley,4.3,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AY,Yes,51.815262,0.537219,574986,216003,TL749160,1/1/1980 12:00:00 AM,,49,31,13,White Notley,4.8,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2AZ,Yes,51.814908,0.533569,574736,215955,TL747159,1/1/1980 12:00:00 AM,,44,10,4,White Notley,5.0,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2BA,Yes,51.815702,0.532658,574670,216041,TL746160,1/1/1980 12:00:00 AM,,44,4,2,White Notley,5.0,,Essex & Suffolk Water,Anglian Water,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2BB,Yes,51.816208,0.534225,574776,216101,TL747161,1/1/1980 12:00:00 AM,,46,15,7,White Notley,4.9,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2BD,Yes,51.828137,0.533572,574685,217426,TL746174,1/1/1980 12:00:00 AM,,61,12,4,Cressing (Essex),4.1,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2BE,Yes,51.832238,0.541105,575188,217900,TL751179,1/1/1980 12:00:00 AM,,72,14,6,Cressing (Essex),3.4,,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Northern
CM3 2BF,Yes,51.777718,0.600062,579466,211981,TL794119,12/1/1999 12:00:00 AM,,45,10,4,Hatfield Peverel,0.6,Hatfield Peverel,Anglian Water,,Braintree,Hatfield Peverel & Terling,Witham Southern
