Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
WR1 1AA,Yes,52.196671,-2.216951,385268,255404,SO852554,2/1/1990 12:00:00 AM,,23,,,Worcester Foregate Street,0.4,Worcester,Severn Trent,,Worcester,Fort Royal,Rainbow Hill
WR1 1AB,No,52.215892,-2.179546,387830,257535,SO878575,12/1/2001 12:00:00 AM,3/1/2006 12:00:00 AM,35,,,Worcester Shrub Hill,3.1,Worcester,,,Worcester,St Nicholas,Warndon Parish
WR1 1AD,Yes,52.196185,-2.219125,385119,255350,SO851553,7/1/2011 12:00:00 AM,,24,,,Worcester Foregate Street,0.2,Worcester,Severn Trent,,Worcester,Arboretum,St. Stephen
WR1 1AE,Yes,52.205223,-2.222564,384887,256356,SO848563,6/1/2015 12:00:00 AM,,22,,,Worcester Foregate Street,1.1,Worcester,,,Worcester,St Stephen,St. Stephen
WR1 1AF,Yes,52.205531,-2.221571,384955,256390,SO849563,1/1/2017 12:00:00 AM,,24,,,Worcester Foregate Street,1.2,Worcester,,,Worcester,St Stephen,St. Stephen
WR1 1AG,Yes,52.205176,-2.221529,384958,256351,SO849563,3/1/2016 12:00:00 AM,,24,,,Worcester Foregate Street,1.1,Worcester,,,Worcester,St Stephen,St. Stephen
WR1 1AH,Yes,52.195222,-2.219442,385097,255243,SO850552,10/1/2021 12:00:00 AM,,25,,,Worcester Foregate Street,0.1,Worcester,,,Worcester,Fort Royal,Rainbow Hill
WR1 1AJ,No,52.190897,-2.218196,385181,254762,SO851547,1/1/2004 12:00:00 AM,1/1/2004 12:00:00 AM,25,,,Worcester Foregate Street,0.5,Worcester,,,Worcester,Cathedral,Riverside
WR1 1AN,Yes,52.195680,-2.222726,384873,255295,SO848552,2/1/1990 12:00:00 AM,,26,,,Worcester Foregate Street,0.1,Worcester,,,Worcester,Cathedral,Riverside
WR1 1DA,No,52.193928,-2.222322,384900,255100,SO848551,6/1/1981 12:00:00 AM,5/1/1994 12:00:00 AM,26,,,Worcester Foregate Street,0.1,Worcester,,,Worcester,Cathedral,Riverside
WR1 1DB,Yes,52.194814,-2.221342,384967,255198,SO849551,1/1/1980 12:00:00 AM,,28,1,1,Worcester Foregate Street,0.0,Worcester,Severn Trent,,Worcester,Cathedral,Riverside
