Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LL11 0AA,No,53.048893,-3.000085,333056,350649,SJ330506,1/1/2005 12:00:00 AM,8/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AB,No,53.048893,-3.000085,333056,350649,SJ330506,1/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AD,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2005 12:00:00 AM,3/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AE,No,53.048893,-3.000085,333056,350649,SJ330506,3/1/2005 12:00:00 AM,2/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AF,No,53.048893,-3.000085,333056,350649,SJ330506,3/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AG,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2007 12:00:00 AM,7/1/2010 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AH,No,53.048893,-3.000085,333056,350649,SJ330506,3/1/2005 12:00:00 AM,4/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AJ,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2012 12:00:00 AM,4/1/2013 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AL,No,53.048893,-3.000085,333056,350649,SJ330506,4/1/2005 12:00:00 AM,5/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AN,No,53.048893,-3.000085,333056,350649,SJ330506,4/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AP,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AQ,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AR,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AS,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2005 12:00:00 AM,6/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AT,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2005 12:00:00 AM,3/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AU,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2005 12:00:00 AM,6/1/2011 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AW,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2005 12:00:00 AM,8/1/2009 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AX,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2005 12:00:00 AM,5/1/2011 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AY,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2005 12:00:00 AM,8/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0AZ,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2005 12:00:00 AM,6/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BA,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2005 12:00:00 AM,7/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BB,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2005 12:00:00 AM,8/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BD,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2005 12:00:00 AM,8/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BE,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2005 12:00:00 AM,8/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BF,No,53.047480,-2.993846,333472,350486,SJ334504,7/1/2005 12:00:00 AM,8/1/2005 12:00:00 AM,90,,,Wrexham Central,0.4,Wrexham,,,Wrexham,Grosvenor,
LL11 0BG,No,53.048893,-3.000085,333056,350649,SJ330506,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BH,No,53.048893,-3.000085,333056,350649,SJ330506,9/1/2005 12:00:00 AM,10/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BJ,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2005 12:00:00 AM,8/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BL,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2005 12:00:00 AM,11/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BN,No,53.047480,-2.993846,333472,350486,SJ334504,10/1/2005 12:00:00 AM,1/1/2006 12:00:00 AM,90,,,Wrexham Central,0.4,Wrexham,,,Wrexham,Grosvenor,
LL11 0BP,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2005 12:00:00 AM,10/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BQ,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2006 12:00:00 AM,7/1/2006 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BR,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2008 12:00:00 AM,12/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BS,No,53.048893,-3.000085,333056,350649,SJ330506,12/1/2005 12:00:00 AM,1/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BT,No,53.048893,-3.000085,333056,350649,SJ330506,1/1/2008 12:00:00 AM,2/1/2012 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BU,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2006 12:00:00 AM,3/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BW,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2006 12:00:00 AM,2/1/2009 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BX,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2006 12:00:00 AM,8/1/2012 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BY,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2006 12:00:00 AM,4/1/2022 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0BZ,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2006 12:00:00 AM,3/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DA,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2007 12:00:00 AM,4/1/2017 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DB,No,53.048893,-3.000085,333056,350649,SJ330506,4/1/2006 12:00:00 AM,5/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DD,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2013 12:00:00 AM,5/1/2014 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DE,No,53.048893,-3.000085,333056,350649,SJ330506,4/1/2006 12:00:00 AM,8/1/2022 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DF,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DG,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DH,No,53.048909,-3.000085,333056,350651,SJ330506,8/1/2020 12:00:00 AM,7/1/2022 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DJ,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2006 12:00:00 AM,7/1/2011 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DL,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2006 12:00:00 AM,7/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DN,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2006 12:00:00 AM,9/1/2013 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DP,No,53.048893,-3.000085,333056,350649,SJ330506,8/1/2006 12:00:00 AM,5/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DQ,No,53.048893,-3.000085,333056,350649,SJ330506,8/1/2006 12:00:00 AM,9/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DR,No,53.048893,-3.000085,333056,350649,SJ330506,8/1/2006 12:00:00 AM,9/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DS,No,53.048893,-3.000085,333056,350649,SJ330506,9/1/2006 12:00:00 AM,6/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DT,No,53.048893,-3.000085,333056,350649,SJ330506,9/1/2006 12:00:00 AM,10/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DU,No,53.048893,-3.000085,333056,350649,SJ330506,9/1/2006 12:00:00 AM,10/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DW,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2006 12:00:00 AM,11/1/2009 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DX,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2006 12:00:00 AM,12/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DY,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2006 12:00:00 AM,10/1/2011 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0DZ,No,53.048893,-3.000085,333056,350649,SJ330506,11/1/2006 12:00:00 AM,11/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EA,No,53.048893,-3.000085,333056,350649,SJ330506,11/1/2006 12:00:00 AM,1/1/2009 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EB,No,53.048893,-3.000085,333056,350649,SJ330506,12/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0ED,No,53.048893,-3.000085,333056,350649,SJ330506,1/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EE,No,53.048893,-3.000085,333056,350649,SJ330506,1/1/2007 12:00:00 AM,3/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EF,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2007 12:00:00 AM,8/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EG,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2007 12:00:00 AM,3/1/2010 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EH,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2007 12:00:00 AM,5/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EJ,No,53.048893,-3.000085,333056,350649,SJ330506,6/1/2009 12:00:00 AM,5/1/2010 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EL,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2007 12:00:00 AM,11/1/2007 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EN,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2007 12:00:00 AM,8/1/2013 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EP,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2007 12:00:00 AM,1/1/2014 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EQ,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2007 12:00:00 AM,6/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0ER,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2007 12:00:00 AM,7/1/2013 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0ES,No,53.048893,-3.000085,333056,350649,SJ330506,7/1/2007 12:00:00 AM,7/1/2011 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0ET,No,53.048893,-3.000085,333056,350649,SJ330506,3/1/2008 12:00:00 AM,8/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EU,No,53.048893,-3.000085,333056,350649,SJ330506,9/1/2009 12:00:00 AM,3/1/2010 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EW,Yes,53.048893,-3.000085,333056,350649,SJ330506,8/1/2007 12:00:00 AM,,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EX,No,53.048893,-3.000085,333056,350649,SJ330506,9/1/2007 12:00:00 AM,8/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EY,No,53.048893,-3.000085,333056,350649,SJ330506,9/1/2007 12:00:00 AM,8/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0EZ,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2007 12:00:00 AM,3/1/2010 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FA,No,53.048893,-3.000085,333056,350649,SJ330506,5/1/2008 12:00:00 AM,6/1/2015 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FB,Yes,53.048893,-3.000085,333056,350649,SJ330506,10/1/2007 12:00:00 AM,,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FD,No,53.048893,-3.000085,333056,350649,SJ330506,10/1/2007 12:00:00 AM,11/1/2009 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FE,No,53.048893,-3.000085,333056,350649,SJ330506,11/1/2007 12:00:00 AM,12/1/2022 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FF,No,53.048893,-3.000085,333056,350649,SJ330506,11/1/2007 12:00:00 AM,1/1/2009 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FG,No,53.048893,-3.000085,333056,350649,SJ330506,11/1/2007 12:00:00 AM,12/1/2019 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FH,No,53.048893,-3.000085,333056,350649,SJ330506,1/1/2008 12:00:00 AM,2/1/2010 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FJ,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2008 12:00:00 AM,2/1/2009 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FL,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2008 12:00:00 AM,6/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FN,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2008 12:00:00 AM,3/1/2012 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FP,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2008 12:00:00 AM,8/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FQ,No,53.048893,-3.000085,333056,350649,SJ330506,2/1/2008 12:00:00 AM,8/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FR,No,53.048893,-3.000085,333056,350649,SJ330506,3/1/2008 12:00:00 AM,8/1/2008 12:00:00 AM,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FS,Yes,53.048893,-3.000085,333056,350649,SJ330506,3/1/2008 12:00:00 AM,,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
LL11 0FT,Yes,53.048909,-3.000085,333056,350651,SJ330506,6/1/2023 12:00:00 AM,,86,,,Wrexham General,0.2,Wrexham,,,Wrexham,Grosvenor,
