Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HP10 0AJ,No,51.622144,-0.770490,485213,192196,SU852921,2/1/2004 12:00:00 AM,6/1/2008 12:00:00 AM,153,,,High Wycombe,1.9,High Wycombe,,,Buckinghamshire,Abbey,
HP10 0NT,Yes,51.608176,-0.681197,491422,190750,SU914907,1/1/1980 12:00:00 AM,,100,6,3,Beaconsfield,2.6,,Affinity Water,Thames Water,Buckinghamshire,Tylers Green and Loudwater,
HP10 0RD,No,51.622164,-0.770369,485221,192198,SU852921,11/1/2018 12:00:00 AM,9/1/2020 12:00:00 AM,153,,,High Wycombe,1.9,High Wycombe,Affinity Water,Thames Water,Buckinghamshire,Abbey,
HP10 0RE,No,51.622144,-0.770490,485213,192196,SU852921,3/1/2011 12:00:00 AM,2/1/2014 12:00:00 AM,153,,,High Wycombe,1.9,High Wycombe,,,Buckinghamshire,Abbey,
HP10 0RH,No,51.622144,-0.770490,485213,192196,SU852921,6/1/1997 12:00:00 AM,2/1/2006 12:00:00 AM,153,,,High Wycombe,1.9,High Wycombe,,,Buckinghamshire,Abbey,
HP10 0RJ,No,51.619485,-0.770750,485200,191900,SU851919,8/1/1993 12:00:00 AM,6/1/1997 12:00:00 AM,159,,,High Wycombe,2.1,High Wycombe,,,Buckinghamshire,Abbey,
HP10 0RL,No,51.622144,-0.770490,485213,192196,SU852921,6/1/1996 12:00:00 AM,2/1/2006 12:00:00 AM,153,,,High Wycombe,1.9,High Wycombe,,,Buckinghamshire,Abbey,
HP10 0SN,No,51.622144,-0.770490,485213,192196,SU852921,6/1/2001 12:00:00 AM,2/1/2007 12:00:00 AM,153,,,High Wycombe,1.9,High Wycombe,,,Buckinghamshire,Abbey,
HP10 0SQ,No,51.622144,-0.770490,485213,192196,SU852921,3/1/2009 12:00:00 AM,3/1/2011 12:00:00 AM,153,,,High Wycombe,1.9,High Wycombe,,,Buckinghamshire,Abbey,
HP10 0TL,No,51.619485,-0.770750,485200,191900,SU851919,12/1/1998 12:00:00 AM,10/1/2001 12:00:00 AM,159,,,High Wycombe,2.1,High Wycombe,,,Buckinghamshire,Abbey,
HP10 0TX,No,51.622144,-0.770490,485213,192196,SU852921,12/1/1999 12:00:00 AM,6/1/2008 12:00:00 AM,153,,,High Wycombe,1.9,High Wycombe,,,Buckinghamshire,Abbey,
