Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DY10 1AA,Yes,52.387104,-2.250470,383050,276594,SO830765,9/1/2003 12:00:00 AM,,35,,,Kidderminster,0.9,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AB,Yes,52.386227,-2.248320,383196,276495,SO831764,6/1/1996 12:00:00 AM,,37,,,Kidderminster,0.7,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AD,No,52.385366,-2.249730,383100,276400,SO830764,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,36,,,Kidderminster,0.8,Kidderminster,,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AE,Yes,52.384853,-2.248004,383217,276343,SO832763,1/1/1980 12:00:00 AM,,34,6,5,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AF,Yes,52.384615,-2.247742,383235,276316,SO832763,1/1/1980 12:00:00 AM,,34,9,5,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AG,No,52.392504,-2.253870,382821,277195,SO828771,6/1/1997 12:00:00 AM,9/1/2014 12:00:00 AM,37,,,Kidderminster,1.4,Kidderminster,,,Wyre Forest,Franche & Habberley North,St. Barnabas
DY10 1AH,No,52.383568,-2.249720,383100,276200,SO830762,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,35,,,Kidderminster,0.8,Kidderminster,,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AJ,No,52.384470,-2.248256,383200,276300,SO831763,7/1/1986 12:00:00 AM,7/1/1995 12:00:00 AM,34,,,Kidderminster,0.7,Kidderminster,,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AL,Yes,52.382792,-2.248683,383170,276113,SO831761,7/1/1986 12:00:00 AM,,35,,,Kidderminster,0.7,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AN,No,52.386268,-2.248266,383200,276500,SO831765,7/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,37,,,Kidderminster,0.7,Kidderminster,,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AP,No,52.384362,-2.248329,383195,276288,SO831762,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,34,,,Kidderminster,0.7,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AQ,Yes,52.382614,-2.249994,383081,276094,SO830760,9/1/1981 12:00:00 AM,,36,,,Kidderminster,0.8,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AR,Yes,52.385755,-2.246481,383321,276443,SO833764,1/1/1980 12:00:00 AM,,36,8,2,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AS,Yes,52.387104,-2.250470,383050,276594,SO830765,2/1/2021 12:00:00 AM,,37,,,Kidderminster,0.9,Kidderminster,,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AT,No,52.392504,-2.253870,382821,277195,SO828771,1/1/1980 12:00:00 AM,7/1/2006 12:00:00 AM,37,,,Kidderminster,1.4,Kidderminster,,,Wyre Forest,Franche & Habberley North,St. Barnabas
DY10 1AU,Yes,52.386029,-2.246457,383323,276473,SO833764,1/1/1980 12:00:00 AM,,37,43,2,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AW,No,52.385815,-2.245266,383404,276449,SO834764,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,42,,,Kidderminster,0.5,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AX,Yes,52.381847,-2.246978,383286,276008,SO832760,6/1/2002 12:00:00 AM,,35,,,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AY,Yes,52.386257,-2.246866,383295,276498,SO832764,1/1/1980 12:00:00 AM,,38,,,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1AZ,Yes,52.384786,-2.245520,383386,276335,SO833763,5/1/2008 12:00:00 AM,,38,,,Kidderminster,0.5,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BA,No,52.386325,-2.246812,383299,276506,SO832765,1/1/1980 12:00:00 AM,6/1/2011 12:00:00 AM,37,,,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BB,Yes,52.386302,-2.247160,383275,276504,SO832765,1/1/1980 12:00:00 AM,,38,3,2,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BD,No,52.386268,-2.248266,383200,276500,SO831765,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,37,,,Kidderminster,0.7,Kidderminster,,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BE,No,52.386265,-2.249735,383100,276500,SO831765,1/1/1980 12:00:00 AM,12/1/1988 12:00:00 AM,37,,,Kidderminster,0.8,Kidderminster,,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BF,No,52.385560,-2.242811,383571,276420,SO835764,6/1/1998 12:00:00 AM,1/1/2002 12:00:00 AM,50,,,Kidderminster,0.3,Kidderminster,,,Wyre Forest,Aggborough & Spennells,St. Chads
DY10 1BG,Yes,52.383028,-2.241122,383685,276138,SO836761,11/1/2015 12:00:00 AM,,61,,,Kidderminster,0.2,Kidderminster,Severn Trent,,Wyre Forest,Aggborough & Spennells,St. Marys
DY10 1BH,No,52.386997,-2.247844,383229,276581,SO832765,1/1/1980 12:00:00 AM,10/1/2001 12:00:00 AM,40,,,Kidderminster,0.7,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BJ,Yes,52.386148,-2.247409,383258,276486,SO832764,1/1/1980 12:00:00 AM,,37,15,8,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BL,Yes,52.386627,-2.248194,383205,276540,SO832765,1/1/1980 12:00:00 AM,,38,,,Kidderminster,0.7,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BN,Yes,52.386008,-2.247706,383238,276471,SO832764,1/1/1980 12:00:00 AM,,36,,,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BP,Yes,52.382182,-2.241470,383661,276044,SO836760,9/1/2015 12:00:00 AM,,62,,,Kidderminster,0.3,Kidderminster,Severn Trent,,Wyre Forest,Aggborough & Spennells,St. Marys
DY10 1BQ,Yes,52.386404,-2.247517,383251,276515,SO832765,4/1/1986 12:00:00 AM,,37,,,Kidderminster,0.6,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BS,No,52.385369,-2.248261,383200,276400,SO831764,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,36,,,Kidderminster,0.7,Kidderminster,,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BT,Yes,52.386492,-2.248443,383188,276525,SO831765,7/1/2011 12:00:00 AM,,38,,,Kidderminster,0.7,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
DY10 1BU,No,52.386510,-2.248355,383194,276527,SO831765,1/1/1980 12:00:00 AM,1/1/2001 12:00:00 AM,38,,,Kidderminster,0.7,Kidderminster,Severn Trent,,Wyre Forest,Blakebrook & Habberley South,St. Marys
