Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
YO1 0AE,No,53.960430,-1.092336,459652,451975,SE596519,4/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AG,No,53.960430,-1.092336,459652,451975,SE596519,5/1/2005 12:00:00 AM,2/1/2006 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AH,No,53.960430,-1.092336,459652,451975,SE596519,7/1/2005 12:00:00 AM,8/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AJ,No,53.960430,-1.092336,459652,451975,SE596519,9/1/2007 12:00:00 AM,8/1/2011 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AL,No,53.960430,-1.092336,459652,451975,SE596519,8/1/2005 12:00:00 AM,3/1/2006 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AN,No,53.960430,-1.092336,459652,451975,SE596519,11/1/2005 12:00:00 AM,12/1/2009 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AP,No,53.960430,-1.092336,459652,451975,SE596519,12/1/2005 12:00:00 AM,2/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AQ,No,53.960430,-1.092336,459652,451975,SE596519,1/1/2006 12:00:00 AM,2/1/2011 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AR,No,53.960430,-1.092336,459652,451975,SE596519,1/1/2006 12:00:00 AM,1/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AS,No,53.960430,-1.092336,459652,451975,SE596519,1/1/2006 12:00:00 AM,2/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AT,No,53.960430,-1.092336,459652,451975,SE596519,2/1/2006 12:00:00 AM,2/1/2016 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AU,No,53.960430,-1.092336,459652,451975,SE596519,4/1/2006 12:00:00 AM,5/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AW,No,53.960430,-1.092336,459652,451975,SE596519,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AX,No,53.960430,-1.092336,459652,451975,SE596519,7/1/2006 12:00:00 AM,7/1/2012 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AY,No,53.960430,-1.092336,459652,451975,SE596519,7/1/2006 12:00:00 AM,8/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0AZ,No,53.960430,-1.092336,459652,451975,SE596519,8/1/2006 12:00:00 AM,9/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BA,No,53.960430,-1.092336,459652,451975,SE596519,10/1/2009 12:00:00 AM,9/1/2010 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BB,No,53.960430,-1.092336,459652,451975,SE596519,8/1/2006 12:00:00 AM,1/1/2008 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BD,No,53.960430,-1.092336,459652,451975,SE596519,8/1/2006 12:00:00 AM,9/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BE,No,53.960430,-1.092336,459652,451975,SE596519,11/1/2006 12:00:00 AM,11/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BF,No,53.960430,-1.092336,459652,451975,SE596519,1/1/2007 12:00:00 AM,2/1/2015 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BG,No,53.960430,-1.092336,459652,451975,SE596519,1/1/2007 12:00:00 AM,2/1/2008 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BH,No,53.960430,-1.092336,459652,451975,SE596519,2/1/2007 12:00:00 AM,3/1/2008 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BJ,No,53.960430,-1.092336,459652,451975,SE596519,2/1/2007 12:00:00 AM,2/1/2009 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BL,No,53.960430,-1.092336,459652,451975,SE596519,2/1/2007 12:00:00 AM,3/1/2008 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BN,No,53.960430,-1.092336,459652,451975,SE596519,11/1/2007 12:00:00 AM,12/1/2010 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BP,No,53.960430,-1.092336,459652,451975,SE596519,4/1/2007 12:00:00 AM,4/1/2008 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BQ,No,53.960430,-1.092336,459652,451975,SE596519,4/1/2007 12:00:00 AM,4/1/2013 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BR,No,53.960430,-1.092336,459652,451975,SE596519,4/1/2007 12:00:00 AM,4/1/2017 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BS,No,53.960430,-1.092336,459652,451975,SE596519,5/1/2007 12:00:00 AM,6/1/2008 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BT,No,53.960430,-1.092336,459652,451975,SE596519,7/1/2007 12:00:00 AM,7/1/2017 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BU,No,53.960430,-1.092336,459652,451975,SE596519,7/1/2007 12:00:00 AM,8/1/2010 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BW,No,53.960430,-1.092336,459652,451975,SE596519,7/1/2007 12:00:00 AM,11/1/2007 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BX,No,53.960430,-1.092336,459652,451975,SE596519,9/1/2007 12:00:00 AM,4/1/2009 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BY,No,53.960430,-1.092336,459652,451975,SE596519,10/1/2007 12:00:00 AM,6/1/2008 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0BZ,No,53.960430,-1.092336,459652,451975,SE596519,10/1/2007 12:00:00 AM,12/1/2010 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0DA,No,53.960430,-1.092336,459652,451975,SE596519,3/1/2011 12:00:00 AM,2/1/2012 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0DB,No,53.960430,-1.092336,459652,451975,SE596519,1/1/2008 12:00:00 AM,8/1/2010 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
YO1 0DD,No,53.960430,-1.092336,459652,451975,SE596519,1/1/2008 12:00:00 AM,1/1/2009 12:00:00 AM,14,,,York,0.3,York,,,York,Micklegate,
